Published Date,Published Time,Saved Date,Edited Date,Timezone,Author,Outlet,Headline,Coverage Snippet,Contextual Snippet,Insight Name,Insight,URL,Image URLs,Attribution,Media Type,Classification,Sentiment,Language,Translated Language,AVE(USD),Impressions,Domain Authority,Word Count,Duration,Continent,Country,Province/State,County,City
1/30/2025,2:44:30 PM,,,UTC,,Elektrėnų Kronika,"Elektrėnai – vieta, kurioje kuriamos modernios ir šiuolaikiškos darbo vietos bei naujos galimybės verslui","Dominykas Grinkevičius, VU komunikacijos fakulteto studentas, praktikantas Praėjusiais metais Nekilnojamojo turto plėtros bendrovei „Darnu Group“ pasirašius partnerys­tės sutartį su „Rimi Lietuva“ dėl ­pagrindinio prekybos tinklo logistikos centro...","Dominykas Grinkevičius,
VU komunikacijos fakulteto studentas, praktikantas

Praėjusiais metais Nekilnojamojo turto plėtros bendrovei „Darnu Group“ pasirašius partnerys­tės sutartį su „Rimi Lietuva“ dėl ­pagrindinio prekybos tinklo logistikos centro v...",,,http://ct.moreover.com/?a=55901050489&p=1lk&v=1&x=Uri1pRkScTxXaxvPUu3f2A,https://www.kronika.lt/wp-content/uploads/2025/01/dsgseg.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,,,,355,,Europe,Lithuania,,,
1/29/2025,1:25:08 PM,,,UTC,,Statybunaujienos.lt,DARNU GROUP šiemet daugiausia lėšų skirs jau pradėtiems projektams,Nekilnojamojo turto plėtros bendrovė „Darnu Group“ šiemet į NT projektus planuoja investuoti 18 proc. daugiau nei pernai – 94 mln. eurų. Didesnė dalis investicijų – apie 48 mln. eurų – bus skirta gyvenamosios paskirties projektų vystymui – Neries...,Nekilnojamojo turto plėtros bendrovė „Darnu Group“ šiemet į NT projektus planuoja investuoti 18 proc. daugiau nei pernai – 94 mln. eurų. Didesnė dalis investicijų – apie 48 mln. eurų – bus skirta gyvenamosios paskirties projektų vystymui – Neries pak...,,,https://www.statybunaujienos.lt/naujiena/DARNU-GROUP-siemet-daugiausia-lesu-skirs-jau-pradetiems-projektams/23733,"https://www.statybunaujienos.lt/images/public/Paupys7%20kvartalas%20i%C5%A1%20vir%C5%A1aus%20-%20Darnu%20Group_mini%20foto.jpg,https://www.statybunaujienos.lt/images/naujienos/726_545/b903509ae11520f4341c9120e2ab710a.jpg,https://www.statybunaujienos.lt/images/public/Sigita%20Survilait%C4%97_1.jpg,https://www.statybunaujienos.lt/images/naujienos/1200_900/b903509ae11520f4341c9120e2ab710a.jpg",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,245.88,9835,29,47,,Europe,Lithuania,,,Vilnius
1/29/2025,11:57:10 AM,,,UTC,,15min.lt,„Darnu Group“ į NT projektus šiemet investuos 94 mln. eurų,"Nekilnojamojo turto plėtros bendrovė „Darnu Group“ šiemet į NT projektus planuoja investuoti 18 proc. daugiau nei pernai – 94 mln. eurų. Didesnė dalis investicijų – apie 48 mln. eurų – bus skirta gyvenamosios paskirties projektų vystymui, rašoma „Darnu...","Nekilnojamojo turto plėtros bendrovė „Darnu Group“ šiemet į NT projektus planuoja investuoti 18 proc. daugiau nei pernai – 94 mln. eurų.

Didesnė dalis investicijų – apie 48 mln. eurų – bus skirta gyvenamosios paskirties projektų vystymui, rašoma „Da...",,,https://www.15min.lt/verslas/naujiena/bendroves/darnu-group-i-nt-projektus-siemet-investuos-94-mln-euru-663-2385162,https://s1.15min.lt/static/cache/MTIwMHg2MjgsLDExNzQwMDgsb3JpZ2luYWwsLGlkPTk5NTM0MjQmZGF0ZT0yMDI1JTJGMDElMkYyOSw0MTkwNDgzNDgz/paupys-679a16906bab9.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,31807.48,1272299,74,38,,Europe,Lithuania,,,Vilnius
1/29/2025,10:55:13 AM,,,UTC,,Lietuvos rytas,"Darnu Group to invest EUR 94 million in real estate projects this year, with a larger share of funds allocated to residential construction","Real estate development company Darnu Group plans to invest EUR 94 million in real estate projects this year, an 18% increase compared to last year. The larger part of the investment – approximately EUR 48 million – will be directed toward residential...","With the coordination of projects dragging on in the corridors of state institutions, only EUR 53 million out of the planned EUR 80 million was invested in 2024,“ says Sigita Survilaitė, CEO of Darnu Group.According to her, due to irrational bureaucr...",,,http://ct.moreover.com/?a=55890500291&p=1lk&v=1&x=jKZNjnCylSQQVoFKPI7Kpg,"http://media.lrytas.lt/images/2025/01/29/103423136-22bf1543-b5bf-4413-a93d-271a12597349.jpg,https://media.lrytas.lt/images/2025/01/29/103423136-5862962b-f7d0-40f5-b597-6c031f5ecc43.jpg",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,18375,735000,70,626,,Europe,Lithuania,,,Vilnius
1/28/2025,11:31:54 PM,,,UTC,,Lietuvos naujienų agentūra (ELTA),„Darnu Group“ į NT projektus šįmet investuos 94 mln. eurų,__,,,,http://ct.moreover.com/?a=55886598132&p=1lk&v=1&x=HDhW2yaW0fhDGK4qydVQlA,,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,158.58,6343,44,0,,Europe,Lithuania,,,Vilnius
1/28/2025,4:45:13 PM,,,UTC,,Naujienugidas,„Darnu Group“ į NT projektus šiemet investuos 94 mln. eurų: didžioji dalis lėšų skiriama gyvenamajai statybai,Nekilnojamojo turto plėtros bendrovė „Darnu Group“ šiemet į NT projektus planuoja investuoti 18 proc. daugiau nei pernai – 94 mln. eurų. Didesnė dalis investicijų – apie 48 mln. eurų – bus skirta gyvenamosios paskirties projektų vystymui – Neries...,"2024 metais „Darnu Group“ 37 mln. eurų skyrė negyv...

„Darnu Group“ į NT projektus šiemet investuos 94 mln. eurų: didžioji dalis lėšų skiriama gyvenamajai statybai",,,https://www.naujienugidas.lt/darnu-group-i-nt-projektus-siemet-investuos-94-mln-euru-didzioji-dalis-lesu-skiriama-gyvenamajai-st-133050.html,https://www.naujienugidas.lt/site/assets/img/broken.gif,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,72,,Europe,Lithuania,,,
1/28/2025,2:35:07 PM,,,UTC,,Verslo Idėjos ,„Darnu Group“ į NT projektus šiemet investuos 94 mln. eurų: didžioji dalis lėšų skiriama gyvenamajai statybai,Nekilnojamojo turto plėtros bendrovė „Darnu Group“ šiemet į NT projektus planuoja investuoti 18 proc. daugiau nei pernai – 94 mln. eurų. Didesnė dalis investicijų – apie 48 mln. eurų – bus skirta gyvenamosios paskirties projektų vystymui – Neries...,"eurų“, – sako Sigita Survilaitė, „Darnu Group“ generalinė direktorė.

Anot jos, dėl neracionaliai išsitęsusių biurokratinių procesų siekiant gauti statybų leidimą, „Darnu Group“ tik metų pabaigoje startavo su naujojo gyvenamojo rajono šalia Neries „S...",,,https://versloidejos.lt/nekilnojamasis-turtas-nt-naujienos/darnu-group-i-nt-projektus-siemet-investuos-94-mln-euru-didzioji-dalis-lesu-skiriama-gyvenamajai-statybai/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201584%20396'%3E%3C/svg%3E,https://versloidejos.lt/wp-content/uploads/2025/01/original_Paupys_1.jpg",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,449,,Europe,Lithuania,,,
1/28/2025,12:43:10 PM,,,UTC,Rūta Balčiūnienė,Verslo žinios,"„Integrity“ atnaujina prekės ženklą, plečia vadovų komandą","„Integrity“ yra bene ilgiausiai gyvuojantis prekės ženklas Lietuvos ryšių su visuomene bendrovių segmente. Per 25 veiklos metus komunikacijos projektus įgyvendinome maždaug 400 Lietuvos bei užsienio bendrovių, kurios mus vertino už integrity požiūrį –...","Tarp didžiausių agentūros klientų – „Darnu Group“, „Go Vilnius“, „Huawei“, „Ignitis“ grupė, „Lietuvos draudimas“, „Novaturas“, „Omniva“, „Rimi“, „Swedbank“, „Vinted“ ir kitos organizacijos.

VŽ rašė apie pokyčius ir kitose agentūrose: šių metų pradži...",,,http://ct.moreover.com/?a=55882226126&p=1lk&v=1&x=MBx6EQDbLO4FHRQKOt8beg,https://www.vz.lt/image/1280/story/image/3CiUTuZw-daiva-j-010.jpg?1729795298,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,22089.1,883564,59,302,,Europe,Lithuania,,,Vilnius
1/28/2025,11:14:15 AM,,,UTC,,Lietuvos rytas,„Darnu Group“ į NT projektus šįmet investuos 94 mln. eurų: didesnė dalis lėšų bus skirta gyvenamajai statybai,Nekilnojamojo turto plėtros bendrovė „Darnu Group“ šiemet į NT projektus planuoja investuoti 18 proc. daugiau nei pernai – 94 mln. eurų. Didesnė dalis investicijų – apie 48 mln. eurų – bus skirta gyvenamosios paskirties projektų vystymui – Neries...,"eurų“, – sako Sigita Survilaitė, „Darnu Group“ generalinė direktorė.Anot jos, dėl neracionaliai išsitęsusių biurokratinių procesų siekiant gauti statybų leidimą, „Darnu Group“ tik metų pabaigoje startavo su naujojo gyvenamojo rajono šalia Neries „Sak...",,,http://ct.moreover.com/?a=55881629558&p=1lk&v=1&x=b484CKCC7IArDQXRsnEbFA,https://media.lrytas.lt/images/2025/01/28/111033957-22e3f503-d762-4930-b562-269e40b70c78.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,18375,735000,70,442,,Europe,Lithuania,,,Vilnius
1/28/2025,11:13:39 AM,,,UTC,,Lietuvos rytas,„Darnu Group“ į NT projektus šįmet investuos 94 mln. eurų: didesnė dalis lėšų bus skirta gyvenamajai statybai,2024 metais „Darnu Group“ 37 mln. eurų skyrė negyvenamosios paskirties projektų vystymui. Didesnė dalis šių lėšų – 29 mln. eurų – buvo skirti daugiafunkcių prekybos kompleksų „Vilniaus verslo parkas“ vystymui sostinės Gariūnų bei Ukmergės gatvėse. Į...,"eurų“, – sako Sigita Survilaitė, „Darnu Group“ generalinė direktorė.

Anot jos, dėl neracionaliai išsitęsusių biurokratinių procesų siekiant gauti statybų leidimą, „Darnu Group“ tik metų pabaigoje startavo su naujojo gyvenamojo rajono šalia Neries „S...",,,https://www.lrytas.lt/bustas/nekilnojamasis-turtas/2025/01/28/news/-darnu-group-i-nt-projektus-simet-investuos-94-mln-euru-didesne-dalis-lesu-bus-skirta-gyvenamajai-statybai-36231944/,https://media.lrytas.lt/images/2025/01/28/111033957-22e3f503-d762-4930-b562-269e40b70c78.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,18375,735000,70,419,,Europe,Lithuania,,,Vilnius
