Published Date,Published Time,Saved Date,Edited Date,Timezone,Author,Outlet,Headline,Coverage Snippet,Contextual Snippet,Insight Name,Insight,URL,Image URLs,Attribution,Media Type,Classification,Sentiment,Language,Translated Language,AVE(USD),Impressions,Domain Authority,Word Count,Duration,Continent,Country,Province/State,County,City
1/31/2025,9:19:04 PM,,,UTC,,Naujienugidas,„EIKA Development“: rekordiniai pardavimai Vilniaus NT rinkoje sausį – kas tai lėmė?,"Nekilnojamojo turto plėtros bendrovės „EIKA Development“ duomenimis, vien per sausio mėnesį rinkai pasiūlyti 1117 naujų butų, daugiau nei per visą pirmą praėjusių metų ketvirtį ir tai lėmė nuo 2021 metų pavasario neregėtus pardavimus- iš viso Vilniuje...","Nekilnojamojo turto plėtros bendrovės „EIKA Development“ duomenimis, vien per sausio mėnesį rinkai pasiūlyti 1117 naujų butų, daugiau nei per visą pirmą praėjusių metų ketvirtį ir tai lėmė nuo 2021 metų pavasario neregėtus pardavimus- iš viso Vilniuj...",,,https://www.naujienugidas.lt/eika-development-rekordiniai-pardavimai-vilniaus-nt-rinkoje-sausi-kas-tai-leme-134645.html,https://versloidejos.lt/wp-content/uploads/2025/01/original_Tomas_Ziaugra-scaled.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,73,,Europe,Lithuania,,,
1/31/2025,6:30:04 PM,,,UTC,,BNS Spaudos centras,„EIKA Development“: Vilniaus nekilnojamojo turto rinkoje sausį – rekordiniai pardavimai,"Nekilnojamojo turto plėtros bendrovės „EIKA Development“ duomenimis, vien per sausio mėnesį rinkai pasiūlyti 1117 naujų butų, daugiau nei per visą pirmą praėjusių metų ketvirtį ir tai lėmė nuo 2021 metų pavasario neregėtus pardavimus- iš viso Vilniuje...","Mes savo ruožtu irgi darome viską, kad turėtume ką pasiūlyti visiems pirkėjams pagal skirtingus jų poreikius“, – sakė „EIKA Development“ plėtros direktorius Tomas Žiaugra.

Pranešimą paskelbė: Irmantas Matilionis, EIKA

„BNS Spaudos centre“ skelbiami",,,https://sc.bns.lt/view/item/eika-development-vilniaus-nekilnojamojo-turto-rinkoje-sausi-rekordiniai-pardavimai-500648,https://sc.bns.lt/docs/1/500648/original_Tomas_Ziaugra.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,361,,Europe,Lithuania,,,
1/31/2025,2:32:16 PM,,,UTC,,Verslo Idėjos ,„EIKA Development“: rekordiniai pardavimai Vilniaus NT rinkoje sausį – kas tai lėmė?,"Nekilnojamojo turto plėtros bendrovės „EIKA Development“ duomenimis, vien per sausio mėnesį rinkai pasiūlyti 1117 naujų butų, daugiau nei per visą pirmą praėjusių metų ketvirtį ir tai lėmė nuo 2021 metų pavasario neregėtus pardavimus- iš viso Vilniuje...","...2025 metų sausį Vilniuje buvo 4412 butų pasiūla, kai 2024-ųjų metų sausį – 3582, taigi, per metus pasiūla išaugo 23,2 proc.

„EIKA Development“ 2024 m. rinkai pasiūlė 349 naujus butus, šiais metais planuoja pasiūlyti dar ne mažiau 450 butų.

„Šių met...",,,https://versloidejos.lt/nekilnojamasis-turtas-nt-naujienos/eika-development-rekordiniai-pardavimai-vilniaus-nt-rinkoje-sausi-kas-tai-leme/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201584%20396'%3E%3C/svg%3E,https://versloidejos.lt/wp-content/uploads/2025/01/original_JPP5566ditggg-scaled.jpg,data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202560%201707'%3E%3C/svg%3E",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,338,,Europe,Lithuania,,,
1/31/2025,1:04:46 PM,,,UTC,,15min.lt,„EIKA Development“: Vilniaus nekilnojamojo turto rinkoje sausį – rekordiniai pardavimai,"Nekilnojamojo turto plėtros bendrovės „EIKA Development“ duomenimis, vien per sausio mėnesį rinkai pasiūlyti 1117 naujų butų, daugiau nei per visą pirmą praėjusių metų ketvirtį ir tai lėmė nuo 2021 metų pavasario neregėtus pardavimus- iš viso Vilniuje...","Nekilnojamojo turto plėtros bendrovės „EIKA Development“ duomenimis, vien per sausio mėnesį rinkai pasiūlyti 1117 naujų butų, daugiau nei per visą pirmą praėjusių metų ketvirtį ir tai lėmė nuo 2021 metų pavasario neregėtus pardavimus- iš viso Vilniuj...",,,https://www.15min.lt/verslas/naujiena/bns-spaudos-centras/eika-development-vilniaus-nekilnojamojo-turto-rinkoje-sausi-rekordiniai-pardavimai-500638,https://sc.bns.lt/docs/1/500638/lg_Tomas_Ziaugra.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,31807.48,1272299,74,40,,Europe,Lithuania,,,Vilnius
1/31/2025,12:11:54 AM,,,UTC,,Lietuvos naujienų agentūra (ELTA),EBRD finansuos „EIKA“ vykdomą verslo centro „Jasinskio 2“ plėtrą,__,,,,http://ct.moreover.com/?a=55904556687&p=1lk&v=1&x=1-B297oDo3sy8NlIQrpZDg,,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,158.58,6343,44,0,,Europe,Lithuania,,,Vilnius
1/30/2025,6:52:26 PM,,,UTC,,TV3 Lithuania,Žymūs Lietuvos žmonės susirinko šou „Rykliai“ verslo vakarėlyje,"Ketvirtadienio vakarą šalies novatoriai, verslo rykliai ir visi Lietuvos startuolių ekosistemai neabejingi žmonės susibūrė žiūrovus prie ekranų pritraukiančio TV3 žiniasklaidos grupės verslumo projekto „Rykliai. Lietuva“ vakarėlyje. Į verslo gelmes...","...vakarėlį atvyko šou „Rykliai“ : „Kilo Health“ įkūrėjas Tadas Burgaila, advokatų bendrijos „Walless“ vadovė Dovilė Burgienė, „Eika“ įkūrėjas ir valdybos pirmininkas Robertas Dargis, „East West Agro“ generalinis direktorius Gediminas Kvietkauskas ir mu...",,,https://www.tv3.lt/naujiena/zmones/zymus-lietuvos-zmones-susirinko-sou-rykliai-verslo-vakarelyje-n1394445,"https://www.tv3.lt/pimg/2/main-tv3-resize.png?qc-size=120,65",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,19590.08,783603,63,573,,Europe,Lithuania,,,Vilnius
1/30/2025,9:11:49 AM,,,UTC,,15min.lt,EBRD 18 mln. eurų skolina „Eikos“ verslo centro Vilniuje plėtrai,"EBRD finansuos 60 proc. projekto išlaidų. Tai bus pirmas „Eikos“ grupės ir EBRD bendradarbiavimo projektas. „Eika“ grupės generalinis direktorius Domas Dargis sako, kad „Eika“ pirmą kartą pritraukė Europos institucinį finansuotoją.","EBRD finansuos 60 proc. projekto išlaidų. Tai bus pirmas „Eikos“ grupės ir EBRD bendradarbiavimo projektas.

„Eika“ grupės generalinis direktorius Domas Dargis sako, kad „Eika“ pirmą kartą pritraukė Europos institucinį finansuotoją.",,,http://ct.moreover.com/?a=55898455399&p=1lk&v=1&x=gpNEwT01EhoTyWByTxpgBA,https://s1.15min.lt/static/cache/MTIwMHg2MjgsODE1eDYzNyw2MTYzNDQsb3JpZ2luYWwsLGlkPTU4MDk5MDgmZGF0ZT0yMDIxJTJGMDMlMkYwMSwyNjcwNzQ4MTM2/uab-eika-603cf28232654.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,31807.48,1272299,74,30,,Europe,Lithuania,,,Vilnius
1/30/2025,9:02:18 AM,,,UTC,,Lietuvos rytas,"Gelbėkit, namas griūna: vilniečių daugiabučio sienos skilinėja, grindys deformuojasi – niekam nerūpi","„Gelbėkit, namas griūna“, – toks pagalbos šauksmas per Aludarių gatvės 2-ojo namo tris aukštus jau mėnuo atkreipia praeivių dėmesį. Bet tik jų, o ne valdininkų, nes nei Valstybinė teritorijų planavimo ir statybos inspekcija, nei savivaldybė, nei kitos...","...planavimo ir statybos inspekcija, nei savivaldybė, nei kitos institucijos neskuba į pagalbą.

Namo gyventojai beda pirštu į bendrovę „Eika Development“, kuri vietoj alaus baro „Tauro ragas“ stato šešių aukštų virš žemės ir dviejų aukštų po žeme versl...",,,https://www.lrytas.lt/bustas/nekilnojamasis-turtas/2025/01/30/news/gelbekit-namas-griuna-vilnieciu-daugiabucio-sienos-skilineja-grindys-deformuojasi-niekam-nerupi-36158726/,"https://media.lrytas.lt/images/2025/01/23/200230983-8296a3f2-a17c-4e5f-858b-5a01e273923a.jpg,https://media.lrytas.lt/images/2025/01/23/200230768-c45158a4-7b17-4779-926f-a7195a08fc17.jpg,https://media.lrytas.lt/images/2025/01/23/200231398-2626312a-5905-482a-8f86-6ddad7efc600.jpg,https://media.lrytas.lt/images/2025/01/23/200230120-cdd39bfd-237d-43df-81e7-29accfe2fb53.jpg",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,18375,735000,70,158,,Europe,Lithuania,,,Vilnius
1/30/2025,8:54:56 AM,,,UTC,,Verslo Idėjos  - Maistas ir receptai,EBRD paskyrė finansavimą „EIKA“ grupės verslo centro „Jasinskio 2“ plėtrai,"Europos rekonstrukcijos ir plėtros bankas (angl. European Bank for Reconstruction and Development, EBRD) suteiks 18 mln. eurų paskolą „EIKA“ grupės plėtojamam „Jasinskio 2“ verslo centrui. Reklama Kaip numato pasirašyta sutartis, EBRD finansuos 60 proc....","eurų paskolą „EIKA“ grupės plėtojamam „Jasinskio 2“ verslo centrui.

Reklama

Kaip numato pasirašyta sutartis, EBRD finansuos 60 proc. projekto išlaidų. Tai bus pirmas „EIKA“ grupės ir EBRD bendradarbiavimo projektas.

„Tai yra neeilinis įvykis „EIKA...",,,https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/ebrd-paskyre-finansavima-eika-grupes-verslo-centro-jasinskio-2-pletrai/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201584%20396'%3E%3C/svg%3E,https://versloidejos.lt/wp-content/uploads/2025/01/original_8N2A2685-scaled.jpg,data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202560%201707'%3E%3C/svg%3E",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,366,,Europe,Lithuania,,,
1/30/2025,7:54:55 AM,,,UTC,,BNS Spaudos centras,EBRD finansuos „EIKA“ grupės vykdomą verslo centro „Jasinskio 2“ plėtrą,"Europos rekonstrukcijos ir plėtros bankas (angl. European Bank for Reconstruction and Development, EBRD) suteiks 18 mln. eurų paskolą „EIKA“ grupės plėtojamam „Jasinskio 2“ verslo centrui. Kaip numato pasirašyta sutartis, EBRD finansuos 60 proc. projekto...","eurų paskolą „EIKA“ grupės plėtojamam „Jasinskio 2“ verslo centrui.

Kaip numato pasirašyta sutartis, EBRD finansuos 60 proc. projekto išlaidų. Tai bus pirmas „EIKA“ grupės ir EBRD bendradarbiavimo projektas.

„Tai yra neeilinis įvykis „EIKA“ grupei,",,,https://sc.bns.lt/view/item/ebrd-finansuos-eika-grupes-vykdoma-verslo-centro-jasinskio-2-pletra-500487,https://sc.bns.lt/docs/1/500487/original_DomasDargis.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,389,,Europe,Lithuania,,,
