"Published Date","Published Time","Saved Date","Edited Date",Timezone,Author,Outlet,Headline,"Coverage Snippet","Contextual Snippet","Insight Name",Insight,URL,"Image URLs",Attribution,"Media Type",Classification,Sentiment,Language,"Translated Language",AVE(USD),Impressions,"Domain Authority","Word Count",Duration,Continent,Country,Province/State,County,City
01/29/2025,"09:29:13 AM",,,UTC,,"Dienas Bizness","Energosertifikāts – neizmantots potenciāls nekustamā īpašuma tirgū","Šobrīd nekustamā īpašuma tirgū ir nomniekiem labvēlīgs laiks. Industriālo platību izvēle ir plaša un solās būt vēl lielāka, tāpēc nomnieki var iegūt labākus nosacījumus. Šādā situācijā, konkurējot par nomnieku, ēku īpašniekiem, iznomātājiem galdā jāliek...","Atšķirībā no Lietuvas un Igaunijas, Latvijā ir spēcīgākā konkurence starp attīstītājiem šajā sektorā, un ir skaidri identificējami trīs profesionālie industriālo telpu attīstītāji – Piche, VGP un Sirin Development.

Pašlaik brīvo platību īpatsvars, t...",,,"http://ct.moreover.com/?a=55889824600&p=1lk&v=1&x=qjPkPDnyYaRguOKvUuhW9Q","https://cdntest.db.lv/lvold/1200/2019/articles/2025/01/519859__6799eb1a86099.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,1969.4,78776,59,611,,Europe,Latvia,,,Riga
01/28/2025,"11:52:11 AM",,,UTC,"Atcerēties Mani","Aprinkis.lv - Ekonomika","Mārupē atklāj jaunu loģistikas parku","Loģistikas nekustamo īpašumu attīstītājs “Sirin Development”, investējot 20 miljonus eiro, netālu no Rīgas Starptautiskās lidostas atklājis jaunu loģistikas parku – “Sirin Park Mārupe”. Pirmās kārtas ietvaros izbūvēts loģistikas parks 27 000 kvadrātmetru...","Esam pārliecināti, ka Latvijas ekonomika drīzumā atgriezīsies uz izaugsmes ceļa un pieaugs arī nepieciešamība pēc modernām noliktavu platībām,” uzsver “Sirin Development” izpilddirektors Laurins Kuzavs ( Laurynas Kuzavas ).

“Jaunajā “Sirin Park Māru...",,,"https://www.aprinkis.lv/index.php/ekonomika/58521-marupe-atklaj-jaunu-logistikas-parku","https://www.aprinkis.lv/images/2025.01./Marupe1.jpg,https://www.aprinkis.lv/images/2025.01./Marupe5.jpg,https://www.aprinkis.lv/images/2025.01./Marupe3.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,,,,230,,Europe,Latvia,,,
01/28/2025,"10:58:54 AM",,,UTC,"Delfi Bizness","Delfi Latvia","Ticot Latvijas ekonomikas spēkam, Mārupē atklāj jaunu loģistikas parku","Foto: Publicitātes foto Loģistikas nekustamo īpašumu attīstītājs ""SIRIN Development"", investējot 20 miljonus eiro, netālu no Rīgas lidostas atklājis jaunu loģistikas parku – ""SIRIN Park Mārupe"". Pirmās kārtas ietvaros izbūvēts loģistikas parks 27 000...","Un šogad ""SIRIN Development"" plāno investēt 16 miljonus eiro ""SIRIN Park Dreilini"" pirmajā būvniecības kārtā, attīstot modernu biznesa parku 27 000 kvadrātmetru platībā.

""SIRIN Development"" ir viens no lielākajiem loģistikas nekustamo īpašumu attīst...",,,"http://ct.moreover.com/?a=55881502252&p=1lk&v=1&x=tXYknw7aih3h9tbb0yEk3Q","https://images.delfi.lv/media-api-image-cropper/v1/54ab5665-d7d1-402f-93ed-ab6f3a6668ca.jpg?w=1200&h=628&r=16:9,https://images.delfi.lv/media-api-image-cropper/v1/54ab5665-d7d1-402f-93ed-ab6f3a6668ca.jpg?w=1764&h=992",,ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,31601.0,1264040,83,248,,Europe,Latvia,,,Riga
01/28/2025,"08:31:17 AM",,,UTC,,"Dienas Bizness","Mārupē atklāj SIRIN loģistikas parku, kura izveidē investēti 20 miljoni eiro","Baltijas loģistikas nekustamo īpašumu attīstītājs “SIRIN Development”, investējot 20 miljonus eiro, netālu no Rīgas Starptautiskās lidostas atklājis jaunu loģistikas parku – “SIRIN Park Mārupe”.","Baltijas loģistikas nekustamo īpašumu attīstītājs “SIRIN Development”, investējot 20 miljonus eiro, netālu no Rīgas Starptautiskās lidostas atklājis jaunu loģistikas parku – “SIRIN Park Mārupe”.",,,"http://www.db.lv/zinas/marupe-atklaj-sirin-logistikas-parku-kura-izveide-investeti-20-miljoni-eiro-519837","https://cdntest.db.lv/lvold/735/2019/articles/2025/01/519837__67989535820b4.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,1969.4,78776,59,23,,Europe,Latvia,,,Riga
01/08/2025,"04:53:25 AM",,,UTC,,"Dienas Bizness","Par kukuļošanu apsūdzētajam Vaivodam noteikta dīkstāve bez darba samaksas","Par kukuļošanu apsūdzētajam savulaik no Rīgas domes Ārtelpas un mobilitātes departamenta direktora amata atstādinātajam Jānim Vaivodam Rīgas pašvaldībā pēc tiesas sprieduma noteikta dīkstāve bez darba samaksas. Kā informēja galvaspilsētas izpilddirektors...","...investment 3"". Abi šie uzņēmumi ietilpst Lietuvā reģistrētajā holdingā ""ME Holding NT"".

Lietuvas nekustamo īpašumu attīstītājs ""Sirin Development"" prasīs Rīgas domei atlīdzināt zaudējumus, kas radīti, atceļot 22 zemesgabalu pie lidostas izsoli, 28.m...",,,"http://ct.moreover.com/?a=55722997208&p=1lk&v=1&x=RrC0R98-4xh9MIiVXDSWlw","https://cdntest.db.lv/lvold/1200/2019/articles/2025/01/519560__677e043daf12b.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,1969.4,78776,59,882,,Europe,Latvia,,,Riga
01/08/2025,"12:26:35 AM",,,UTC,,Jauns.lv,"Рижское самоуправление отправило обвиняемого в подкупе Вайводса в неоплачиваемый простой","После постановления суда Рижское самоуправление отправило ранее отстраненного от должности директора департамента внешнего пространства и мобильности Яниса Вайводса в неоплачиваемый простой. Как сообщил исполнительный директор столицы Янис Ланге, издано...","...проданы на аукционе 14 апреля 2022 года, и их за 5,7 млн евро приобрела компания Cella investment 3, связанная с застройщиком Sirin Development. Обе компании входят в литовскую холдинговую компанию ME Holding NT. Литовский застройщик намерен подать в...",,,"https://rus.jauns.lv/article/novosti/636186-rizskoe-samoupravlenie-otpravilo-obvinyaemogo-v-podkupe-vaivodsa-v-neoplacivaemyi-prostoi","https://i.jauns.lv/t/2025/01/07/3193552/1000x500.webp?v=1736260630",,ONLINE_NEWS,,NEUTRAL,Russian,,13012.03,520481,58,496,,Europe,Latvia,,,Riga
01/07/2025,"07:17:29 PM",,,UTC,"Зеленая Лампа",Mixnews.lv,"Рижская дума отправила Вайводса, обвиняемого в подкупе, в неоплачиваемый простой","После постановления суда Рижское самоуправление отправило ранее отстраненного от должности директора департамента внешнего пространства и мобильности Яниса Вайводса в неоплачиваемый простой, сообщает агентство LETA. Как сообщил исполнительный директор...","...проданы на аукционе 14 апреля 2022 года, и их за 5,7 млн евро приобрела компания «Cella investment 3», связанная с застройщиком «Sirin Development». Обе компании входят в литовскую холдинговую компанию «ME Holding NT». Литовский застройщик намерен по...",,,"http://ct.moreover.com/?a=55720174434&p=1lk&v=1&x=JcqEBP7eAQ1OjXuJb9IHyw","https://mixnews.lv/wp-content/uploads/2025/01/7/2025-01-07-mixnews-o1ez.jpg",,ONLINE_NEWS,,NEUTRAL,Russian,,60257.85,2410314,63,501,,Europe,Latvia,,,Riga
01/07/2025,"06:45:25 PM",,,UTC,"Ltv Ziņu",LSM.lv,"Kukuļošanas lietā apsūdzētais Vaivods atgriezies darbā Rīgas domē, nepiekrīt darba līgumam","Dalīties: Rīgas pilsētas izpilddirektors Jānis Lange izdevis rīkojumu par dīkstāves noteikšanu kukuļošanas lietā apsūdzētajam bijušajam Rīgas domes Ārtelpas un mobilitātes departamenta vadītāja pienākumu izpildītājam Jānim Vaivodam, kuru tiesa lika...","Lietuvas investors ""Sirin Development"", kurš 2022. gadā par 5,7 miljoniem eiro iegādājās zemi izsolē, prasīs atlīdzināt radušos zaudējumus.

Pēc lietas uzsākšanas dome Vaivodu no amata atstādināja un vēlāk sākās tiesāšanās par viņa atlaišanu ar pretp...",,,"https://www.lsm.lv/raksts/zinas/latvija/07.01.2025-kukulosanas-lieta-apsudzetais-vaivods-atgriezies-darba-rigas-dome-nepiekrit-darba-ligumam.a582718/","https://static.lsm.lv/media/2025/01/large/1/phf2.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,785.85,31434,78,618,,Europe,Latvia,,,Riga
01/07/2025,"06:06:54 PM",,,UTC,,"Delfi Latvia","Обвиняемого в подкупе чиновника Вайводса отправили в неоплачиваемый простой","Fоtо: LETA После постановления суда Рижское самоуправление отправило ранее отстраненного от должности директора департамента внешнего пространства и мобильности Яниса Вайводса в неоплачиваемый простой. Как сообщил исполнительный директор столицы Янис...","...проданы на аукционе 14 апреля 2022 года, и их за 5,7 млн евро приобрела компания ""Cella investment 3"", связанная с застройщиком ""Sirin Development"". Обе компании входят в литовскую холдинговую компанию ""ME Holding NT"". Литовский застройщик намерен по...",,,"http://ct.moreover.com/?a=55719760257&p=1lk&v=1&x=SPYI4LLO2vhqLXtO52Tktw","https://images.delfi.lv/media-api-image-cropper/v1/a0b84c02-5967-4db9-ab98-070232b3c358.jpg?w=1200&h=628&r=16:9",,ONLINE_NEWS,,NEUTRAL,Russian,,31601.0,1264040,83,495,,Europe,Latvia,,,Riga
01/07/2025,"05:53:31 PM",,,UTC,"Ziņu aģentūra LETA schedule","Neatkarīgā Rīta Avīze","Par kukuļošanu apsūdzētajam Vaivodam noteikta dīkstāve bez darba samaksas","Par kukuļošanu apsūdzētajam savulaik no Rīgas domes Ārtelpas un mobilitātes departamenta direktora amata atstādinātajam Jānim Vaivodam Rīgas pašvaldībā pēc tiesas sprieduma noteikta dīkstāve bez darba samaksas. Kā aģentūru LETA informēja galvaspilsētas...","...investment 3"". Abi šie uzņēmumi ietilpst Lietuvā reģistrētajā holdingā ""ME Holding NT"".

Lietuvas nekustamo īpašumu attīstītājs ""Sirin Development"" prasīs Rīgas domei atlīdzināt zaudējumus, kas radīti, atceļot 22 zemesgabalu pie lidostas izsoli, 28.m...",,,"http://ct.moreover.com/?a=55719687518&p=1lk&v=1&x=xaFrOG9gUA94vqiz-4EB1Q","https://zinas.nra.lv/_mm/photos/2025-01/1440px/725174_384ae55b8f.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,9961.03,398441,55,848,,Europe,Latvia,,,Riga
