Published Date,Outlet,Headline,Contextual Snippet,URL,Sentiment,Impressions,Domain Authority
2/20/2025,Verslo žinios,Verslo centro „Hero“ plėtotojai pradeda platinti jau penktąją obligacijų emisijos dalį,"m. ploto nuomos. Čia taip pat įsikurs vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „SIRIN Development“, savitarnos restoranas „NooN“, ankstyvojo ugdymo mokykla „Eureka“ ir viena sparčiausiai augančių dermatologijos klini...",http://ct.moreover.com/?a=56066226995&p=1lk&v=1&x=7B4OFL6EJnZikcj4EZhjlw,NOT AVAILABLE,883564,59
2/19/2025,Verslo Idėjos ,"Verslo centro „Hero“ plėtotojai pradeda platinti penktąją 5,5 mln. eurų vertės obligacijų emisijos dalį","...„Sapiegos klinika“. Naujus namus čia ras ir vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse, bendrovė „Sirin Development“ bei pasaulinio audito, mokesčių ir teisės bei sandorių ir konsultacijų paslaugų tinklo „PwC“ Lietuvos...",https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/verslo-centro-hero-pletotojai-pradeda-platinti-penktaja-55-mln-euru-vertes-obligaciju-emisijos-dali/,NOT AVAILABLE,10,
2/19/2025,BNS Spaudos centras,"Verslo centro „Hero“ plėtotojai pradeda platinti penktąją 5,5 mln. eurų vertės obligacijų emisijos dalį","...„Sapiegos klinika“. Naujus namus čia ras ir vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse, bendrovė „Sirin Development“ bei pasaulinio audito, mokesčių ir teisės bei sandorių ir konsultacijų paslaugų tinklo „PwC“ Lietuvos...",https://sc.bns.lt/view/item/verslo-centro-hero-pletotojai-pradeda-platinti-penktaja-5-5-mln-euru-vertes-obligaciju-emisijos-dali-501651,NOT AVAILABLE,10,
2/18/2025,Madeinvilnius,Į naująjį verslo centrą „Hero“ kelsis dar viena įmonė,"Jovaišaitė.

„PwC“ prisijungs prie kitų „Hero“ verslo centro nuomininkų – nekilnojamojo turto vystytojo „SIRIN Development“, dienos pietų restorano „Noon“, „Sapiegos klinikos“, ankstyvojo ugdymo mokyklos „Eureka“ ir grožio salono „Leana“.

Vilniaus c...",https://madeinvilnius.lt/verslas/nekilnojamas-turtas/i-naujaji-verslo-centra-hero-kelsis-dar-viena-imone/,NOT AVAILABLE,10,
2/17/2025,Verslo Idėjos ,„PwC“ įsikurs verslo centre „Hero“ – pasirinkimą lėmė prestižinė vieta,"Jovaišaitė.

„PwC“ prisijungs prie kitų „Hero“ verslo centro nuomininkų – nekilnojamojo turto vystytojo „SIRIN Development“, dienos pietų restorano „Noon“, „Sapiegos klinikos“, ankstyvojo ugdymo mokyklos „Eureka“ ir grožio salono „Leana“.

Vilniaus c...",https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/pwc-isikurs-verslo-centre-hero-pasirinkima-leme-prestizine-vieta/,NOT AVAILABLE,10,
2/17/2025,Verslo žinios,Vilniaus biurų pastate „Hero“ pritrauktas vienas didesnių nuomininkų,"Be „PwC“, verslo centre „Hero“ įsikurs NT plėtros bendrovė „Sirin Development“, dienos pietų restoranas „Noon“, „Sapiegos klinika“, mokykla „Eureka“ bei grožio salonas „Leana“.

Dviejų 14 ir 15 aukštų pastato bokštų, kuriuose bus 31.500 kv. m nuomoja...",http://ct.moreover.com/?a=56043610590&p=1lk&v=1&x=yOpvtf-Rfj6FC4YeCbaGsA,NOT AVAILABLE,883564,59
2/17/2025,BNS Spaudos centras,„PwC“ įsikurs verslo centre „Hero“ – pasirinkimą lėmė prestižinė vieta,"Jovaišaitė.

„PwC“ prisijungs prie kitų „Hero“ verslo centro nuomininkų – nekilnojamojo turto vystytojo „SIRIN Development“, dienos pietų restorano „Noon“, „Sapiegos klinikos“, ankstyvojo ugdymo mokyklos „Eureka“ ir grožio salono „Leana“.

Vilniaus c...",https://sc.bns.lt/view/item/pwc-isikurs-verslo-centre-hero-pasirinkima-leme-prestizine-vieta-501497,NOT AVAILABLE,10,
2/4/2025,Lietuvos rytas,Garsusis Kauno LEZ: kas čia įsikūrė per beveik du dešimtmečius ir kokia veikla plėtojama,"Petružis.Šiuo metu nekilnojamojo turto vystymo bendrovė „SIRIN Development“ sėkmingai veikia ir vykdo plėtrą Kauno LEZ 1 jau 19 hektarų plote, o iki 2030 metų Kauno LEZ vystomiems projektams ketinama skirti dar apie 40 mln. eurų. Šios bendrovės gener...",http://ct.moreover.com/?a=55937974936&p=1lk&v=1&x=loRUbisI4Tz4bkV-lugymQ,NOT AVAILABLE,735000,70
2/3/2025,Litas.lt,"Kauno LEZ: pirmoji teritorija užpildyta, tęsiama antrojo etapo plėtra","Petružis.

Šiuo metu nekilnojamojo turto vystymo bendrovė „SIRIN Development“ sėkmingai veikia ir vykdo plėtrą Kauno LEZ 1 jau 19 hektarų plote, o iki 2030 metų Kauno LEZ vystomiems projektams ketinama skirti dar apie 40 mln. eurų. Šios bendrovės gen...",https://www.litas.lt/kauno-lez-pirmoji-teritorija-uzpildyta-tesiama-antrojo-etapo-pletra/,NOT AVAILABLE,500,26
2/3/2025,Etaplius.lt,"Kauno LEZ: pirmoji teritorija užpildyta, tęsiama antrojo etapo plėtra","Petružis.

Šiuo metu nekilnojamojo turto vystymo bendrovė „SIRIN Development“ sėkmingai veikia ir vykdo plėtrą Kauno LEZ 1 jau 19 hektarų plote, o iki 2030 metų Kauno LEZ vystomiems projektams ketinama skirti dar apie 40 mln. eurų. Šios bendrovės gen...",http://ct.moreover.com/?a=55932221466&p=1lk&v=1&x=mtMpF5DzBjEZM77vQksifw,NOT AVAILABLE,,
