Published Date,Outlet,Headline,Contextual Snippet,URL
2/28/2025,BNS Spaudos centras,Būsimos Infekcinių ligų klinikos vietoje Panevėžyje „EIKOS statyba“ įkasė simbolinę kapsulę,"Pranešimą paskelbė: Irmantas Matilionis, EIKA

„BNS Spaudos centre“ skelbiami įvairių organizacijų pranešimai žiniasklaidai. Už pranešimų turinį atsako juos paskelbę asmenys bei jų atstovaujamos organizacijos.",https://sc.bns.lt/view/item/busimos-infekciniu-ligu-klinikos-vietoje-panevezyje-eikos-statyba-ikase-simboline-kapsule-502282
2/27/2025,Naujienugidas,Lietuvos advokatai įsikurs veidrodiniame pastate Užupyje,"Pastato projektavimo ir statybos valdymo bei techninės priežiūros darbus patikėta atlikti NT projektų valdymo bendrovei „EIKA Development“. Lietuvos advokatūra, šiuo metu nuomojanti patalpas […]

Lietuvos advokatai įsikurs veidrodiniame pastate Užupy...",https://www.naujienugidas.lt/lietuvos-advokatai-isikurs-veidrodiniame-pastate-uzupyje-147148.html
2/27/2025,Madeinvilnius,Lietuvos advokatai įsikurs veidrodiniame pastate Užupyje,"...išgryninti esminius Advokatūros poreikius bei atitinkamai pritaikyti pastatą naujai funkcijai“, – sako Martynas Žibūda, bendrovės „EIKA Development“ generalinis direktorius.

„Mūsų įsigytam pastatui reikėjo atnaujinimo įrengiant jame modernius Lietuv...",https://madeinvilnius.lt/verslas/statybos-vilniuje/lietuvos-advokatai-isikurs-veidrodiniame-pastate-uzupyje/
2/26/2025,Etaplius,"R. Dargis – apie bemieges naktis, be žinios dingusius pažįstamus ir perduotą verslą","Robertas Dargis – vienas sėkmingiausių Lietuvos verslininkų, dar 1993-iaisiais įkūręs nekilnojamojo turto plėtros bendrovę „Eika“. Veiklą pradėjusi nuo remonto darbų ir statybinių prekių parduotuvės, bendrovė per kelis dešimtmečius įgyvendino ne vien...",https://www.etaplius.lt/naujiena/r-dargis-apie-bemieges-naktis-be-zinios-dingusius-pazistamus-ir-perduota-versla-347069
2/25/2025,BNS Spaudos centras,"Pensijų fonduose – 3,6 mlrd. Eurų investicijų potencialas į šalies ekonomiką ir gynybos infrastruktūrą","Lietuvos investicijų valdymo įmonės „Eika Asset Management“ valdybos narė Indrė Dargytė pakomentuos, kokios verslo galimybės panaudoti pensijų fondų investicijas gynybos infrastuktūrai.

Renginio tipas: nuotolinė spaudos konferencija Renginio data: a...",https://sc.bns.lt/view/item/pensiju-fonduose-3-6-mlrd-euru-investiciju-potencialas-i-salies-ekonomika-ir-gynybos-infrastruktura-502058
2/25/2025,Statyba ir architektūra,Lietuvos advokatūra įsikurs naujuose namuose,"Pastato projektavimo ir statybos valdymo bei techninės priežiūros darbus patikėta atlikti NT projektų valdymo bendrovei „Eika Development“.

Lietuvos advokatūra, šiuo metu nuomojanti patalpas Vilniuje, Lvivo gatvėje, ruošiasi keltis į pastatą, kur ka...",https://sa.lt/lietuvos-advokatura-isikurs-naujuose-namuose/
2/25/2025,Verslo Idėjos  - Tiekėjai,Lietuvos advokatūra įsikurs naujuose namuose – atsivers durys ir visuomenei,"...išgryninti esminius Advokatūros poreikius bei atitinkamai pritaikyti pastatą naujai funkcijai“, – sako Martynas Žibūda, bendrovės „EIKA Development“ generalinis direktorius.

„Mūsų įsigytam pastatui reikėjo atnaujinimo įrengiant jame modernius Lietuv...",https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/lietuvos-advokatura-isikurs-naujuose-namuose-atsivers-durys-ir-visuomenei/
2/25/2025,Naujienugidas,„Eika“ didina pajėgumus: ieško 80 naujų darbuotojų,"...mūro, monolitinių konstrukcijų įrengimo, surenkamo gelžbetonio montavimo, lauko vandentiekio ir nuotekų, sklypo sutvarkymo […]

„Eika“ didina pajėgumus: ieško 80 naujų darbuotojų...",https://www.naujienugidas.lt/eika-didina-pajegumus-iesko-80-nauju-darbuotoju-145948.html
2/25/2025,15min.lt,Lietuvos advokatūra įsikurs naujuose namuose: turės ir visuomenei prieinamas viešąsias erdves,"Praėjusių metų liepą pasirašius sutartį, „EIKA Development“ pradėjo projektavimo valdymo darbus. Šiais metais planuojama pradėti statybos valdymo darbus bei techninės priežiūros paslaugų teikimą. Beveik 500 kv. m. užimančiose patalpose bus atlikti fa...",http://ct.moreover.com/?a=56106421404&p=1lk&v=1&x=nnt3qMebE2tfS5VFdy98Hw
2/25/2025,BNS Spaudos centras,Lietuvos advokatūra įsikurs naujuose namuose: turės ir visuomenei prieinamas viešąsias erdves,"...išgryninti esminius Advokatūros poreikius bei atitinkamai pritaikyti pastatą naujai funkcijai“, – sako Martynas Žibūda, bendrovės „EIKA Development“ generalinis direktorius.

„Mūsų įsigytam pastatui reikėjo atnaujinimo įrengiant jame modernius Lietuv...",https://sc.bns.lt/view/item/lietuvos-advokatura-isikurs-naujuose-namuose-tures-ir-visuomenei-prieinamas-viesasias-erdves-501984
