"Published Date",Outlet,Headline,"Contextual Snippet",URL,"Media Type",Classification,Sentiment,Language,"Translated Language",AVE(USD),Impressions,"Domain Authority","Word Count",Duration,Continent,Country,Province/State,County,City
04/30/2025,"Lietuvos rytas","Most Vilnius residents are not changing their plans to buy a home: they are going to look for something bigger and more energy efficient","The key appeal for buyers was the project's location, which offers exceptional natural surroundings and is supported by developing recreational and leisure infrastructure,“ says the expert from Darnu Group.The survey was conducted by Spinter Research","http://ct.moreover.com/?a=56619937007&p=1lk&v=1&x=1njSEwySzJwTfjLpoZYLsg",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,18375.0,735000,70,905,,Europe,Lithuania,,,Vilnius
04/30/2025,"Lietuvos rytas","Most Vilnius residents are not changing their plans to buy a home: they are going to look for something bigger and more energy efficient","The key appeal for buyers was the project's location, which offers exceptional natural surroundings and is supported by developing recreational and leisure infrastructure,“ says the expert from Darnu Group.

The survey was conducted by Spinter Resear...","https://www.lrytas.lt/english/business-tribune/2025/04/30/news/most-vilnius-residents-are-not-changing-their-plans-to-buy-a-home-they-are-going-to-look-for-something-bigger-and-more-ener-37638966",ONLINE_NEWS,,NEUTRAL,English,,18375.0,735000,70,884,,Europe,Lithuania,,,Vilnius
04/30/2025,Statybunaujienos.lt,"Būsto pirkėjų nuomonės tyrimas: dauguma ieškos didesnio ir energiškai efektyvesnio","Nekilnojamojo turto plėtros bendrovės „Darnu Group“ užsakymu atliktas visuomenės nuomonės tyrimas atskleidė, kad per artimiausius trejetą metų įsigyti nuosavą būstą planuoja penktadalis sostinės gyventojų. Dar 26 proc. teigia konkretaus įsigijimo lai...","https://www.statybunaujienos.lt/naujiena/Busto-pirkeju-nuomones-tyrimas-dauguma-ieskos-didesnio-ir-energiskai-efektyvesnio/24290",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,245.88,9835,29,39,,Europe,Lithuania,,,Vilnius
04/30/2025,"Madeinvilnius - Nekilnojamas turtas","Artimiausiu metu įsigyti nuosavą būstą planuoja penktadalis vilniečių","gyventojų“, – pranešime cituojamas tyrimą užsakiusios bendrovės „Darnu group“pardavimų ir nuomos vadovas Mykolas Čiplys.

Kaip atskleidžia tyrimas, gyventojų lūkesčiai pirmiesiems ar naujiems namams vis labiau auga. Gyventojai pakartotinai nurodo, ka...","https://madeinvilnius.lt/verslas/nekilnojamas-turtas/artimiausiu-metu-isigyti-nuosava-busta-planuoja-penktadalis-vilnieciu/",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,0.25,10,,384,,Europe,Lithuania,,,
04/30/2025,"Delfi Lietuva","Исследование: приобрести собственное жилье в ближайшем будущем планирует пятая часть жителей Вильнюса","...7% жителей отложили свои планы по покупке жилья“, - цитируется в сообщении Миколас Чиплис, глава по продажам и аренде компании Darnu group, заказавшей опрос.

Как показывает исследование, ожидания жителей в отношении своего первого или нового жилья р...","https://www.delfi.lt/ru/news/live/issledovanie-priobresti-sobstvennoe-zhile-v-blizhayshem-budushchem-planiruet-pyataya-chast-zhiteley-vilnyusa-120105690",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,43660.4,1746416,78,405,,Europe,Lithuania,,,Vilnius
04/29/2025,"LNK TV","Paaiškėjo, kiek vilniečių planuoja įsigyti būstą","respondentų.

Bendrovės „Darnu Group“ užsakymu tyrimą vykdė „Spinter tyrimai“. Reprezentatyvioje apklausoje dalyvavo 512 Vilniaus miesto gyventojų, kurių amžius siekė 18–75 metų, o pajamos –nuo 1500 eurų vienam šeimos ūkio nariui per mėnesį.

LNK.LT ","https://lnk.lt/straipsniai/verslas/paaiskejo-kiek-vilnieciu-planuoja-isigyti-busta/312025",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,5627.83,225113,45,401,,Europe,Lithuania,,,Vilnius
04/29/2025,15min.lt,"Planų dėl būsto įsigijimo didžioji dalis vilniečių nekeičia: ieškos didesnio ir energiškai efektyvesnio","gyventojų“, – kalba „Darnu Group“ pardavimų ir nuomos vadovas Mykolas Čiplys.

Kaip atskleidžia jau ne pirmus metus atliekamas tyrimas, gyventojų lūkesčiai pirmiesiems ar naujiems namams vis labiau auga. Gyventojai pakartotinai nurodo, kad per pastar...","https://www.15min.lt/verslas/naujiena/nt-ir-interjeras/planu-del-busto-isigijimo-didzioji-dalis-vilnieciu-nekeicia-ieskos-didesnio-ir-energiskai-efektyvesnio-971-2440010",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,31955.78,1278231,74,621,,Europe,Lithuania,,,Vilnius
04/29/2025,"BNS Spaudos centras","Planų dėl būsto įsigijimo didžioji dalis vilniečių nekeičia: ieškos didesnio ir energiškai efektyvesnio","...pirkti buvo būtent išskirtine gamta pasižyminti projekto lokacija bei kuriama poilsio ir laisvalaikio infrastruktūra“, – sako „Darnu Group“ ekspertas.

Bendrovės „Darnu Group“ užsakymu tyrimą vykdė „Spinter tyrimai“. Reprezentatyvioje apklausoje daly...","https://sc.bns.lt/view/item/planu-del-busto-isigijimo-didzioji-dalis-vilnieciu-nekeicia-ieskos-didesnio-ir-energiskai-efektyvesnio-506107",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,0.25,10,,734,,Europe,Lithuania,,,
04/29/2025,Alfa.lt,"Planų dėl būsto įsigijimo didžioji dalis vilniečių nekeičia: ieškos didesnio ir energiškai efektyvesnio","...pirkti buvo būtent išskirtine gamta pasižyminti projekto lokacija bei kuriama poilsio ir laisvalaikio infrastruktūra“, – sako „Darnu Group“ ekspertas.

Bendrovės „Darnu Group“ užsakymu tyrimą vykdė „Spinter tyrimai“. Reprezentatyvioje apklausoje daly...","http://ct.moreover.com/?a=56609748612&p=1lk&v=1&x=IIVq4qFfqcDX1036RU9CEw",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,6235.05,249402,55,714,,Europe,Lithuania,,,Vilnius
04/29/2025,"Lietuvos rytas","Planų dėl būsto įsigijimo didžioji dalis vilniečių nekeičia: ieškos didesnio ir energiškai efektyvesnio","...pirkti buvo būtent išskirtine gamta pasižyminti projekto lokacija bei kuriama poilsio ir laisvalaikio infrastruktūra“, – sako „Darnu Group“ ekspertas.Bendrovės „Darnu Group“ užsakymu tyrimą vykdė „Spinter tyrimai“. Reprezentatyvioje apklausoje dalyva...","http://ct.moreover.com/?a=56609656610&p=1lk&v=1&x=V-BnapPpWZx6ebeiJVdkvw",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,18375.0,735000,70,692,,Europe,Lithuania,,,Vilnius
