"Published Date",Outlet,Headline,"Contextual Snippet",URL,"Media Type",Classification,Sentiment,Language,"Translated Language",AVE(USD),Impressions,"Domain Authority","Word Count",Duration,Continent,Country,Province/State,County,City
04/14/2025,"Latvijas Avīze","""Piche"" valdes priekšsēdētājs Senkāns: Rīga attīstās, Mārupe regresē","P. Senkāns: Tas drīzāk liecina par to, ka ir sasniegta zināma piesātinājuma pakāpe ""Piche"" attiecībās ar Mārupes novada domi un būvvaldi. Pēdējie četri gadi vispār nav bijuši vienkārši šajā ziņā, bet pēdējo pusotru gadu mums iet ļoti grūti ar būvvald...","https://lasi.lv/saimnieks-uznemejs/bizness/piche-valdes-priekssedetajs-senkans-riga-attistas-marupe-regrese.27386",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,15192.05,607682,59,313,,Europe,Latvia,,,Riga
04/10/2025,BauskasDzive.lv,"Industriālo parku attīstītājs “Piche” būvēs industriālo parku pie Bauska šosejas","Savukārt Mārupē “Piche” plāno attīstīt trīs jaunus industriālos parkus, izbūvējot telpas vairāk nekā 60 000 kvadrātmetru platībā.

Senkāns informē, ka pagājušajā gadā “Piche” industriālajos parkos uzņemti 60 jauni klienti. Šogad mērķis ir šo skaitu p...","http://ct.moreover.com/?a=56460927795&p=1lk&v=1&x=-UaiEN59lcWH7P96Ig2urA",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,,,,234,,Europe,Latvia,,,
04/10/2025,"Delfi Latvia","Piche инвестирует 130 миллионов в новые индустриальные парки","...в стратегическом месте рядом с магазином Ikea и логистическим центром Lidl.

В Валдлаучи, прямо у государственной дороги A7, Piche планирует развивать 35 000 м² индустриальных площадей.

В Марупе Piche планирует три новых индустриальных парка более ч...","http://ct.moreover.com/?a=56458229112&p=1lk&v=1&x=sBSlvmfkDqyUgGAccQlReg",ONLINE_NEWS,,POSITIVE,Russian,,26902.8,1076112,83,290,,Europe,Latvia,,,Riga
04/09/2025,"TV3 Latvia - Sākums","“Piche” investēs 140 miljonus eiro jaunos industriālajos parkos","Savukārt Mārupē “Piche” plāno attīstīt trīs jaunus industriālos parkus, izbūvējot telpas vairāk nekā 60 000 kvadrātmetru platībā.

Senkāns informē, ka pagājušajā gadā “Piche” industriālajos parkos uzņemti 60 jauni klienti. Šogad mērķis ir šo skaitu p...","https://zinas.tv3.lv/ekonomika/piche-investes-140-miljonus-eiro-jaunos-industrialajos-parkos/",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,,,,279,,Europe,Latvia,,,
04/09/2025,"Delfi Latvia","""Piche"" investēs 140 miljonus eiro jaunos industriālajos parkos","Valdlaučos, tieši pie valsts galvenā autoceļa A7, ""Piche"" plāno attīstīt 35 000 m² industriālās platības.

Mārupē ""Piche"" plāno attīstīt trīs jaunus industriālos parkus, izbūvējot vairāk nekā 60 000 m²

​""Pagājušajā gadā mūsu industriālajos parkos uz...","https://www.delfi.lv/bizness/55159262/nekustamais-ipasums/120068167/piche-investes-140-miljonus-eiro-jaunos-industrialajos-parkos",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,26902.8,1076112,83,301,,Europe,Latvia,,,Riga
04/09/2025,"Dienas Bizness","Piche investē 140 miljonus eiro jaunos industriālajos parkos","Latvijas lielākais industriālo parku attīstītājs Piche šogad uzsāk būvniecību sešos jaunajos projektos – trijos Mārupē, divos Dreiliņos un vienā Valdlaučos.

""Kopējā investīciju summa sasniedz 130 miljonus eiro, un plānots izbūvēt vairāk nekā 145 000","http://ct.moreover.com/?a=56449958829&p=1lk&v=1&x=tGQu56exUsrVy6deEv5mTA",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,1969.4,78776,59,277,,Europe,Latvia,,,Riga
04/07/2025,LSM.lv,"Mārupes pašvaldības lēmumi bremzē militāro preču ražošanas attīstību","Nesaskaņās starp industriālo parku attīstītāju, uzņēmumu ""Piche"" un Mārupes novada būvvaldi par ķīlnieku kļuvis militāro preču ražotājs, uzņēmums ""Ammunity"". Tas šonedēļ palika bez biroja telpām, vēsta Latvijas Televīzijas raidījums ""De facto"".","https://www.lsm.lv/raksts/zinas/ekonomika/06.04.2025-marupes-pasvaldibas-lemumi-bremze-militaro-precu-razosanas-attistibu.a594413/?utm_source=lsm&utm_medium=frontpage-theme-slider&utm_campaign=frontpage-theme-slider-4",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,785.85,31434,80,31,,Europe,Latvia,,,Riga
04/07/2025,"Delfi Latvia","Как латвийский производитель военных товаров оказался жертвой бюрократической неразберихи","...открытом пространстве"", — объясняет член правления Ammunity Беате Краузе-Чеботаре.

В чем проблема?

Компания арендовала помещения у Piche — девелопера, специализирующегося на строительстве и сдаче в аренду офисов и складов. Объект был сдан в эксплуа...","http://ct.moreover.com/?a=56432774645&p=1lk&v=1&x=Ai43j7qyqssoHHc8dh7vWw",ONLINE_NEWS,,NEUTRAL,Russian,,26902.8,1076112,83,627,,Europe,Latvia,,,Riga
04/07/2025,"LSM.LV Russian","Производитель военных товаров — случайная жертва бюрократии","Предприятие Ammunity — производитель товаров военного назначения — стало заложником разногласий между девелопером индустриального парка, компанией Piche, и стройуправой Маупского края, из-за которых оно не может въехать в свой новый офис.","https://rus.lsm.lv/statja/novosti/analitika/07.04.2025-proizvoditel-voennyx-tovarov-slucainaya-zertva-byurokratii.a594404/",ONLINE_NEWS,,POSITIVE,Russian,,0.25,10,,30,,Europe,Latvia,,,
04/06/2025,Apollo.lv,"Militāro preču ražotāji cieš no birokrātiskā sloga","...[projektu], vai uzliek kaut kādus kreizī (neadekvātus – red.) šķēršļus, principā uzņēmums pilnībā tiek paralizēts,” pauž SIA “Piche” valdes priekšsēdētājs Pēteris Senkāns.

Te gan ir būtiska detaļa – teikt, ka Mārupes novada Būvvalde lika šķēršļus ti...","https://www.apollo.lv/8224806/militaro-precu-razotaji-cies-no-birokratiska-sloga",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,9197.77,367911,55,1115,,Europe,Latvia,,,Riga
