"Published Date",Outlet,Headline,"Contextual Snippet",URL,"Media Type",Classification,Sentiment,Language,"Translated Language",AVE(USD),Impressions,"Domain Authority","Word Count",Duration,Continent,Country,Province/State,County,City
04/30/2025,"Adaur.ee - Esileht","1Partner hakkab Eestis haldama Baltimaade suurima logistikakinnisvara arendaja SIRIN Development varasid","Jaanuaris Saku vallas avatud 14 000 ruutmeetri suurune Sirin Park Tänassilma on SIRIN Developmenti kümnes logistikapark Balti riikides, ettevõtte koguinvesteering parki ulatus 12 miljoni euroni. Mihkel Pärtel selgitab, et tulevikukindlad uue põlvkonn...","https://www.adaur.ee/1partner-hakkab-eestis-haldama-baltimaade-suurima-logistikakinnisvara-arendaja-sirin-development-varasid/",ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,396,,Europe,Estonia,,,
04/30/2025,Kinnisvarauudised.ee,"1Partner hakkab haldama SIRINi Eesti varasid","1Partner Advisory hakkab haldama Tallinna külje all avatud SIRIN Park Tänassilma logistikaparki, mis on esimene samm Leedu suurarendaja SIRIN Development kavast investeerida järgmise viie aasta jooksul üle 120 miljoni euro kaasaegsete logistikaparkid...","https://www.kinnisvarauudised.ee/uudised/2025/04/30/1partner-hakkab-haldama-sirini-eesti-varasid",ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,92,,Europe,Estonia,,,
04/28/2025,LSM.lv,"«Uzņēmēji nepaliks parādā»: RD bijušā departamenta vadītāja Vaivoda tiesā atklājas kukuļošanas virtuve","Lietuvas investors ""Sirin Development"", kurš 2022. gadā par 5,7 miljoniem eiro iegādājās zemi izsolē, prasīs atlīdzināt radušos zaudējumus.

Pēc lietas uzsākšanas dome Vaivodu no amata atstādināja un vēlāk sākās tiesāšanās par viņa atlaišanu ar pretp...","http://ct.moreover.com/?a=56600982243&p=1lk&v=1&x=j12qP3gI7AR7HKxjTkYGbA",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,785.85,31434,80,1095,,Europe,Latvia,,,Riga
04/27/2025,LSM.lv,"«Uzņēmēji nepaliks parādā»: RD bijušā darbinieka Vaivoda tiesā atklājas kukuļošanas virtuve","Lietuvas investors ""Sirin Development"", kurš 2022. gadā par 5,7 miljoniem eiro iegādājās zemi izsolē, prasīs atlīdzināt radušos zaudējumus.

Pēc lietas uzsākšanas dome Vaivodu no amata atstādināja un vēlāk sākās tiesāšanās par viņa atlaišanu ar pretp...","http://ct.moreover.com/?a=56597594724&p=1lk&v=1&x=PzCLLiEk7OsJxcmUBg2QZg",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,785.85,31434,80,1093,,Europe,Latvia,,,Riga
04/24/2025,Ehitaja,"Eften hakkab Leedus vanadekodusid ehitama","Leedu kinnisvaraarendaja Sirin Development avas 3. aprillil ainulaadse rahvusvahelise kunstisündmusega ametlikult Tänassilmas valminud 14 000 m² suuruse logistikapargi “Sirin Park Tänassilma“.

Viimasel kvartalil tuli Eesti välja kümme kvartalit kest...","https://www.ehitusuudised.ee/uudised/2025/04/23/eften-hakkab-leedus-vanadekodusid-ehitama",ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,245.65,9826,36,275,,Europe,Estonia,,,Tallinn
04/22/2025,15min.lt,"Spektaklį Baltijos šalyse pristatęs Aleksandras Špilevojus: „Gyvename laikais, kai tiltus turime ne griauti, o kurti“","...kūrybinių patirčių agentūra „Salto“ mane pakvietė kurti spektaklį, jam buvo numatyta konkreti vieta – nekilnojamojo turto vystytojų „SIRIN Development“ logistikos angarai Latvijoje ir Estijoje. Baltijos šalių jungtis, šio regiono vienybė įkvėpė ir ta...","https://www.15min.lt/kultura/naujiena/teatras/spektakli-baltijos-salyse-pristates-aleksandras-spilevojus-gyvename-laikais-kai-tiltus-turime-ne-griauti-o-kurti-283-2435898",ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,31955.78,1278231,74,956,,Europe,Lithuania,,,Vilnius
04/17/2025,Kinnisvarauudised.ee,"YIT võttis Kristiine uuel kortermajal sarikapärja maha",", 09:26

Hiljuti oma Tänassilma esimese logistikakeskuse avanud Leedu logistikaparkide arendaja Sirin Development avas Laoseis 2025 konverentsil lähemalt ka oma tulevikuplaanide tausta: kui palju räägitud Tänassilma parki plaanitakse rajada ligi 41 0...","http://ct.moreover.com/?a=56515155854&p=1lk&v=1&x=E5Rn0tM3cHTdMwyU8al_Nw",ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,47,,Europe,Estonia,,,
04/16/2025,Freecity.lv,"Рига выкупит и передаст государству «скандальную» землю у аэропорта","...часть из 22 участков, которые в апреле 2022-го были проданы на аукционе и достались в итоге фирме Cella investment 3, связанной с Sirin Development и, соответственно, с зарегистрированным в Литве холдингом ME Holding NT.

Утверждается, что за счет ут...","https://freecity.lv/biznes/98717/",ONLINE_NEWS,,NEGATIVE,Russian,,164.68,6587,42,189,,Europe,Latvia,,,Riga
04/16/2025,Notepad.lv,"Venipak atver lielāko loģistikas termināli Baltijā, kas izvietots Kauņā","Jaunā termināļa projektu izstrādāja Sirin Development. Objekts, kas izbūvēts atbilstoši A++ energoefektivitātes standartiem, apvieno gan sūtījumu šķirošanas operācijas, gan administratīvās telpas. Teritorijā ierīkotās uzlādes stacijas elektrotranspor...","http://ct.moreover.com/?a=56510434692&p=1lk&v=1&x=qKuojmM93C2hW6Rw2WyhNA",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,86.1,3444,34,443,,Europe,Latvia,,,
04/16/2025,"Delfi Latvia","Rīgas dome atpirks zemes gabalus pie Rīgas lidostas un nodos tos valstij","aprīlī tika pārdoti izsolē. Tos par 5,7 miljoniem eiro iegādājās ar nekustamo īpašumu attīstītāju ""Sirin Development"" saistītais uzņēmums SIA ""Cella investment 3"". Abi šie uzņēmumi ietilpst Lietuvā reģistrētajā holdingā ""ME Holding NT"".

Tādējādi tik...","https://www.delfi.lv/193/politics/120069194/rigas-dome-atpirks-zemes-gabalus-pie-rigas-lidostas-un-nodos-tos-valstij",ONLINE_NEWS,,"NOT AVAILABLE",Latvian,,26902.8,1076112,83,483,,Europe,Latvia,,,Riga
