Published Date,Published Time,Saved Date,Edited Date,Timezone,Author,Outlet,Headline,Coverage Snippet,Contextual Snippet,Insight Name,Insight,URL,Image URLs,Attribution,Media Type,Classification,Sentiment,Language,Translated Language,AVE(USD),Impressions,Domain Authority,Word Count,Duration,Continent,Country,Province/State,County,City
5/19/2025,7:22:20 AM,,,UTC,,Limon-postimees,Называет себя квиром: пять интересных фактов о победителе Евровидения-2025 Йоханнесе Пиче,"Победителем «Евровидения-2025» стал представитель Австрии Йоханнес Пич, которого коротко называют JJ. Он покорил еврофанов и жюри необычным номером: оперную арию он скомбинировал с техно- и электро-мотивами. Примечательно, что на создание этой композиции...",,,,https://limon.postimees.ee/8251661/nazyvaet-sebya-kvirom-pyat-interesnyh-faktov-o-pobeditele-evrovideniya-2025-yohannese-piche,http://f8.pmo.ee/eEDqiQCoU1PQ1IYg7kKQYWf53aY=/1442x0/filters:format(webp)/nginx/o/2025/05/19/16855804t1h4671.jpg,,ONLINE_NEWS,,POSITIVE,Russian,,632.63,25305,72,210,,Europe,Estonia,,,
5/14/2025,3:31:48 AM,,,UTC,,Pietiek,Vai deputāta kandidāts apzināti melo?,"Iesaki rakstu: CVK publicētā informācija liecina, ka A.Priediņš ir jurists ar maģistra grādu tiesību zinātnēs, tātad – likumdošanu pārzinošs cilvēks. 2020. gadā, kļūstot par zvērināta advokāta palīgu, A. Priediņa patrons bija zvērinātais advokāts un...",gada nogalē viņš Mārupes novada domes sēdē piedalījās kā SIA “Piche” pārstāvis (pēc tam vēl vairākkārt pārstāvējis uzņēmumu domes un komiteju sēdēs) un tajā pašā gadā sociālā vietnē “LinkedIn” sniedzis arī glaimojošu komentāru par šī uzņēmuma īpašnie...,,,https://pietiek.com/raksti/vai_deputata_kandidats_apzinati_melo/,"https://pietiek.com/img/illustr_lg/21196.jpg,img/illustr_lg/21196.jpg?v=21",,ONLINE_NEWS,,NOT AVAILABLE,Latvian,,1260.88,50435,41,519,,Europe,Latvia,,,
5/14/2025,3:19:19 AM,,,UTC,,m.pietiek.com,Vai deputāta kandidāts apzināti melo?,"Iesaki rakstu: Karā un mīlestībā visi līdzekļi mērķa sasniegšanai esot labi, bet vai tas ir pieļaujams, kandidējot vēlēšanās? Ja kandidāts slēpj būtiskus faktus, iesniedzot dokumentus Centrālajai vēlēšanu komisijai (CVK), viņš ir patoloģisks melis vai...",gada nogalē viņš Mārupes novada domes sēdē piedalījās kā SIA “Piche” pārstāvis (pēc tam vēl vairākkārt pārstāvējis uzņēmumu domes un komiteju sēdēs) un tajā pašā gadā sociālā vietnē “LinkedIn” sniedzis arī glaimojošu komentāru par šī uzņēmuma īpašnie...,,,https://m.pietiek.com/raksti/vai_deputata_kandidats_apzinati_melo/,//www.pietiek.com/img/illustr_lg/21196.jpg?v=21,,ONLINE_NEWS,,NOT AVAILABLE,Latvian,,0.25,10,,592,,Europe,Latvia,,,
4/14/2025,9:05:21 PM,,,UTC,Olafs Zvejnieks Latvijas Avīze,Latvijas Avīze,"""Piche"" valdes priekšsēdētājs Senkāns: Rīga attīstās, Mārupe regresē","Industriālo parku attīstītāja un apsaimniekotāja ""Piche"" valdes priekšsēdētājam un 95,31% akciju īpašniekam Pēterim Senkānam parasti vārds azotē jāmeklē nav. Viņš neslēpj, ka viņa gadiem ilgais bizness, kas bijis saistīts ar industriālo parku attīstību...","P. Senkāns: Tas drīzāk liecina par to, ka ir sasniegta zināma piesātinājuma pakāpe ""Piche"" attiecībās ar Mārupes novada domi un būvvaldi. Pēdējie četri gadi vispār nav bijuši vienkārši šajā ziņā, bet pēdējo pusotru gadu mums iet ļoti grūti ar būvvald...",,,https://lasi.lv/saimnieks-uznemejs/bizness/piche-valdes-priekssedetajs-senkans-riga-attistas-marupe-regrese.27386,https://media.lasi.lv/media/cache/gallery__jpeg/uploads/media/image/2025041420430667fd492a4192b.JPG,,ONLINE_NEWS,,NOT AVAILABLE,Latvian,,15192.05,607682,59,313,,Europe,Latvia,,,Riga
4/10/2025,1:18:42 PM,,,UTC,,BauskasDzive.lv,Industriālo parku attīstītājs “Piche” būvēs industriālo parku pie Bauska šosejas,"Industriālo parku attīstītājs “Piche” šogad sāks būvniecību sešos jaunajos projektos – trijos Mārupē, divos Dreiliņos un vienā Valdlaučos, kopējai investīciju summai sasniedzot 140 miljonus eiro, aģentūru LETA informēja kompānijā. Saturs turpināsies pēc...","Savukārt Mārupē “Piche” plāno attīstīt trīs jaunus industriālos parkus, izbūvējot telpas vairāk nekā 60 000 kvadrātmetru platībā.

Senkāns informē, ka pagājušajā gadā “Piche” industriālajos parkos uzņemti 60 jauni klienti. Šogad mērķis ir šo skaitu p...",,,http://ct.moreover.com/?a=56460927795&p=1lk&v=1&x=-UaiEN59lcWH7P96Ig2urA,https://bauskasdzive.lv/wp-content/uploads/2025/04/1594403328_Q4VKrheP.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Latvian,,,,,234,,Europe,Latvia,,,
4/10/2025,6:29:45 AM,,,UTC,Delfi Bizness,Delfi Latvia,Piche инвестирует 130 миллионов в новые индустриальные парки,"Fоtо: Publicitātes foto Крупнейший в Латвии девелопер индустриальных парков Piche в этом году начинает строительство в шести новых проектах — трех в Марупе, двух в Дрейлини и одном в Валдлаучи, сообщили на предприятии. Общий объем инвестиций достигнет...","...в стратегическом месте рядом с магазином Ikea и логистическим центром Lidl.

В Валдлаучи, прямо у государственной дороги A7, Piche планирует развивать 35 000 м² индустриальных площадей.

В Марупе Piche планирует три новых индустриальных парка более ч...",,,http://ct.moreover.com/?a=56458229112&p=1lk&v=1&x=sBSlvmfkDqyUgGAccQlReg,https://images.delfi.lv/media-api-image-cropper/v1/0bc9a373-d9e3-4070-8b97-8481e885af1f.jpg?w=1200&h=628&r=16:9,,ONLINE_NEWS,,POSITIVE,Russian,,26902.8,1076112,83,290,,Europe,Latvia,,,Riga
4/9/2025,3:33:24 PM,,,UTC,,TV3 Latvia - Sākums,“Piche” investēs 140 miljonus eiro jaunos industriālajos parkos,"Industriālo parku attīstītājs “Piche” šogad sāks būvniecību sešos jaunajos projektos – trijos Mārupē, divos Dreiliņos un vienā Valdlaučos, kopējai investīciju summai sasniedzot 140 miljonus eiro, informē kompānijā. FOTO: PUBLICITĀTES FOTO Kopumā plānots...","Savukārt Mārupē “Piche” plāno attīstīt trīs jaunus industriālos parkus, izbūvējot telpas vairāk nekā 60 000 kvadrātmetru platībā.

Senkāns informē, ka pagājušajā gadā “Piche” industriālajos parkos uzņemti 60 jauni klienti. Šogad mērķis ir šo skaitu p...",,,https://zinas.tv3.lv/ekonomika/piche-investes-140-miljonus-eiro-jaunos-industrialajos-parkos/,"https://tv3cdn.lv/thumbnails/975x623xavif/2025/04/b148-67f692db99510.jpg,https://tv3cdn.lv/thumbnails/1200x630/2025/04/wm-b148-67f692db99510-i-default.jpg",,ONLINE_NEWS,,NOT AVAILABLE,Latvian,,,,,279,,Europe,Latvia,,,
4/9/2025,9:41:38 AM,,,UTC,Delfi Bizness,Delfi Latvia,"""Piche"" investēs 140 miljonus eiro jaunos industriālajos parkos","Latvijas lielākais industriālo parku attīstītājs ""Piche"" šogad uzsāk būvniecību sešos jaunajos projektos – trijos Mārupē, divos Dreiliņos un vienā Valdlaučos, informē uzņēmumā. ""Kopējā investīciju summa sasniedz 130 miljonus eiro, un plānots izbūvēt...","Valdlaučos, tieši pie valsts galvenā autoceļa A7, ""Piche"" plāno attīstīt 35 000 m² industriālās platības.

Mārupē ""Piche"" plāno attīstīt trīs jaunus industriālos parkus, izbūvējot vairāk nekā 60 000 m²

​""Pagājušajā gadā mūsu industriālajos parkos uz...",,,https://www.delfi.lv/bizness/55159262/nekustamais-ipasums/120068167/piche-investes-140-miljonus-eiro-jaunos-industrialajos-parkos,https://images.delfi.lv/media-api-image-cropper/v1/0bc9a373-d9e3-4070-8b97-8481e885af1f.jpg?w=1200&h=628&r=16:9,,ONLINE_NEWS,,NOT AVAILABLE,Latvian,,26902.8,1076112,83,301,,Europe,Latvia,,,Riga
4/9/2025,8:28:46 AM,,,UTC,,Dienas Bizness,Piche investē 140 miljonus eiro jaunos industriālajos parkos,"Latvijas lielākais industriālo parku attīstītājs Piche šogad uzsāk būvniecību sešos jaunajos projektos – trijos Mārupē, divos Dreiliņos un vienā Valdlaučos. ""Kopējā investīciju summa sasniedz 130 miljonus eiro, un plānots izbūvēt vairāk nekā 145 000 m²...","Latvijas lielākais industriālo parku attīstītājs Piche šogad uzsāk būvniecību sešos jaunajos projektos – trijos Mārupē, divos Dreiliņos un vienā Valdlaučos.

""Kopējā investīciju summa sasniedz 130 miljonus eiro, un plānots izbūvēt vairāk nekā 145 000",,,http://ct.moreover.com/?a=56449958829&p=1lk&v=1&x=tGQu56exUsrVy6deEv5mTA,https://cdntest.db.lv/lvold/1200/2019/articles/2025/04/520925__67f62942b8cc4.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Latvian,,1969.4,78776,59,277,,Europe,Latvia,,,Riga
4/7/2025,8:44:54 AM,,,UTC,Laine Fedotova,LSM.lv,Mārupes pašvaldības lēmumi bremzē militāro preču ražošanas attīstību,"Nesaskaņās starp industriālo parku attīstītāju, uzņēmumu ""Piche"" un Mārupes novada būvvaldi par ķīlnieku kļuvis militāro preču ražotājs, uzņēmums ""Ammunity"". Tas šonedēļ palika bez biroja telpām, vēsta Latvijas Televīzijas raidījums ""De facto"".","Nesaskaņās starp industriālo parku attīstītāju, uzņēmumu ""Piche"" un Mārupes novada būvvaldi par ķīlnieku kļuvis militāro preču ražotājs, uzņēmums ""Ammunity"". Tas šonedēļ palika bez biroja telpām, vēsta Latvijas Televīzijas raidījums ""De facto"".",,,https://www.lsm.lv/raksts/zinas/ekonomika/06.04.2025-marupes-pasvaldibas-lemumi-bremze-militaro-precu-razosanas-attistibu.a594413/?utm_source=lsm&utm_medium=frontpage-theme-slider&utm_campaign=frontpage-theme-slider-4,https://static.lsm.lv/media/2022/07/large/2/ikgc.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Latvian,,785.85,31434,80,31,,Europe,Latvia,,,Riga
