Published Date,Author,Outlet,Headline,Contextual Snippet,URL,Sentiment,AVE(USD),Impressions,Country
5/29/2025,,Vakarų ekspresas,"Inspektoriai nustatė, kad verslininko Dariaus Mockaus valdos praplėstos valstybinės žemės sąskaita","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",http://ct.moreover.com/?a=56857388922&p=1lk&v=1&x=4yTaiPM8nTvV8twoU9X61g,NOT AVAILABLE,9279.83,371193.0,Lithuania
5/29/2025,,Madeinvilnius - Nekilnojamas turtas,Statybos inspekcija: verslininko D. Mockaus valdos Vilniuje praplėstos valstybinės žemės sąskaita,"Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",https://madeinvilnius.lt/verslas/nekilnojamas-turtas/statybos-inspekcija-verslininko-d-mockaus-valdos-vilniuje-praplestos-valstybines-zemes-saskaita/,NOT AVAILABLE,0.25,10.0,Lithuania
5/29/2025,,Respublika,Inspektoriai: verslininko D.Mockaus valdos praplėstos valstybinės žemės sąskaita,"Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",http://ct.moreover.com/?a=56855960220&p=1lk&v=1&x=t9FbzbNTmkHkFhsOG1gBUg,NOT AVAILABLE,8680.3,347212.0,Lithuania
5/29/2025,,Lietuvos rytas,Vienas turtingiausių Lietuvos žmonių Darius Mockus savo valdas praplėtė prisijungdamas valstybinės žemės,"Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",https://www.lrytas.lt/verslas/rinkos-pulsas/2025/05/29/news/vienas-turtingiausiu-lietuvos-zmoniu-darius-mockus-savo-valdas-praplete-prisijungdamas-valstybines-zemes-38057543/,NOT AVAILABLE,18375.0,735000.0,Lithuania
5/29/2025,,Lietuvos rytas,Vienas turtingiausių Lietuvos žmonių Darius Mockus savo valdas praplėtė prisijungdamas valstybinės žemės,"Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",http://ct.moreover.com/?a=56855910551&p=1lk&v=1&x=fC77bqOfoWLznx7e1pBPcg,NOT AVAILABLE,18375.0,735000.0,Lithuania
5/29/2025,,Etaplius.lt,"Inspektoriai nustatė, kad verslininko D. Mockaus valdos praplėstos valstybinės žemės sąskaita","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",http://ct.moreover.com/?a=56855908727&p=1lk&v=1&x=lSXUasNZBAEOKcBESYSj4g,NOT AVAILABLE,,,Lithuania
5/29/2025,,Alfa.lt,"Inspektoriai nustatė, kad verslininko D. Mockaus valdos praplėstos valstybinės žemės sąskaita","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",https://www.alfa.lt/aktualijos/nusikaltimai-ir-nelaimes/inspektoriai-nustate-kad-verslininko-d-mockaus-valdos-praplestos-valstybines-zemes-saskaita/-40364741,NOT AVAILABLE,6568.43,262737.0,Lithuania
5/28/2025,Parengė Darnu,Delfi Lietuva,„Darnu Group“ valdomi „Vilniaus verslo parkai“ pasipildė 6 naujais klientais,"Visas siūlomas patalpas „Vilniaus verslo parko“ kompleksuose verslai gali tiek nuomotis, tiek ir įsigyti – tokią galimybę „Darnu Group“ siūlo vieninteliai rinkoje. Be to, siekiant užtikrinti kuo didesnį lankstumą ir patogumą klientams, „Vilniaus vers...",https://www.delfi.lt/bustas/nt-rinka/darnu-group-valdomi-vilniaus-verslo-parkai-pasipilde-6-naujais-klientais-120111916,NOT AVAILABLE,43660.4,1746416.0,Lithuania
5/28/2025,,Lietuvos rytas,Vilnius Business Parks managed by Darnu Group acquired 6 new clients,"Businesses have the flexibility to either lease or purchase all the premises available in Vilnius Business Park complexes, a distinctive offering that sets Darnu Group apart in the market. Moreover, to ensure maximum flexibility and convenience for c...",https://www.lrytas.lt/english/business-tribune/2025/05/27/news/vilnius-business-parks-managed-by-darnu-group-acquired-6-new-clients-38045927,POSITIVE,18375.0,735000.0,Lithuania
5/28/2025,Darnu Group,Verslo žinios,„Darnu Group“ valdomi „Vilniaus verslo parkai“ pasipildė 6 naujais klientais,"Itin svarbiu veiksniu tampa ir pilnas bei kokybiškas patalpų įrengimas, ženkliai taupantis laiką persikėlimo procese“, – sako „Darnu Group“ pardavimų ir nuomos vadovas Mykolas Čiplys.

Sprendimą diktavo projekto kokybė ir išlaidų optimizacija

Įmonės",http://ct.moreover.com/?a=56846284071&p=1lk&v=1&x=YXPVrwLiK1Xrr8eyWTf2XA,NOT AVAILABLE,20470.8,818832.0,Lithuania
