Published Date,Author,Outlet,Headline,Contextual Snippet,URL,Sentiment,AVE(USD),Impressions,Country
5/19/2025,,Limon-postimees,Называет себя квиром: пять интересных фактов о победителе Евровидения-2025 Йоханнесе Пиче,,https://limon.postimees.ee/8251661/nazyvaet-sebya-kvirom-pyat-interesnyh-faktov-o-pobeditele-evrovideniya-2025-yohannese-piche,POSITIVE,632.63,25305.0,Estonia
5/14/2025,,Pietiek,Vai deputāta kandidāts apzināti melo?,gada nogalē viņš Mārupes novada domes sēdē piedalījās kā SIA “Piche” pārstāvis (pēc tam vēl vairākkārt pārstāvējis uzņēmumu domes un komiteju sēdēs) un tajā pašā gadā sociālā vietnē “LinkedIn” sniedzis arī glaimojošu komentāru par šī uzņēmuma īpašnie...,https://pietiek.com/raksti/vai_deputata_kandidats_apzinati_melo/,NOT AVAILABLE,1260.88,50435.0,Latvia
5/14/2025,,m.pietiek.com,Vai deputāta kandidāts apzināti melo?,gada nogalē viņš Mārupes novada domes sēdē piedalījās kā SIA “Piche” pārstāvis (pēc tam vēl vairākkārt pārstāvējis uzņēmumu domes un komiteju sēdēs) un tajā pašā gadā sociālā vietnē “LinkedIn” sniedzis arī glaimojošu komentāru par šī uzņēmuma īpašnie...,https://m.pietiek.com/raksti/vai_deputata_kandidats_apzinati_melo/,NOT AVAILABLE,0.25,10.0,Latvia
4/14/2025,Olafs Zvejnieks Latvijas Avīze,Latvijas Avīze,"""Piche"" valdes priekšsēdētājs Senkāns: Rīga attīstās, Mārupe regresē","P. Senkāns: Tas drīzāk liecina par to, ka ir sasniegta zināma piesātinājuma pakāpe ""Piche"" attiecībās ar Mārupes novada domi un būvvaldi. Pēdējie četri gadi vispār nav bijuši vienkārši šajā ziņā, bet pēdējo pusotru gadu mums iet ļoti grūti ar būvvald...",https://lasi.lv/saimnieks-uznemejs/bizness/piche-valdes-priekssedetajs-senkans-riga-attistas-marupe-regrese.27386,NOT AVAILABLE,15192.05,607682.0,Latvia
4/10/2025,,BauskasDzive.lv,Industriālo parku attīstītājs “Piche” būvēs industriālo parku pie Bauska šosejas,"Savukārt Mārupē “Piche” plāno attīstīt trīs jaunus industriālos parkus, izbūvējot telpas vairāk nekā 60 000 kvadrātmetru platībā.

Senkāns informē, ka pagājušajā gadā “Piche” industriālajos parkos uzņemti 60 jauni klienti. Šogad mērķis ir šo skaitu p...",http://ct.moreover.com/?a=56460927795&p=1lk&v=1&x=-UaiEN59lcWH7P96Ig2urA,NOT AVAILABLE,,,Latvia
4/10/2025,Delfi Bizness,Delfi Latvia,Piche инвестирует 130 миллионов в новые индустриальные парки,"...в стратегическом месте рядом с магазином Ikea и логистическим центром Lidl.

В Валдлаучи, прямо у государственной дороги A7, Piche планирует развивать 35 000 м² индустриальных площадей.

В Марупе Piche планирует три новых индустриальных парка более ч...",http://ct.moreover.com/?a=56458229112&p=1lk&v=1&x=sBSlvmfkDqyUgGAccQlReg,POSITIVE,26902.8,1076112.0,Latvia
4/9/2025,,TV3 Latvia - Sākums,“Piche” investēs 140 miljonus eiro jaunos industriālajos parkos,"Savukārt Mārupē “Piche” plāno attīstīt trīs jaunus industriālos parkus, izbūvējot telpas vairāk nekā 60 000 kvadrātmetru platībā.

Senkāns informē, ka pagājušajā gadā “Piche” industriālajos parkos uzņemti 60 jauni klienti. Šogad mērķis ir šo skaitu p...",https://zinas.tv3.lv/ekonomika/piche-investes-140-miljonus-eiro-jaunos-industrialajos-parkos/,NOT AVAILABLE,,,Latvia
4/9/2025,Delfi Bizness,Delfi Latvia,"""Piche"" investēs 140 miljonus eiro jaunos industriālajos parkos","Valdlaučos, tieši pie valsts galvenā autoceļa A7, ""Piche"" plāno attīstīt 35 000 m² industriālās platības.

Mārupē ""Piche"" plāno attīstīt trīs jaunus industriālos parkus, izbūvējot vairāk nekā 60 000 m²

​""Pagājušajā gadā mūsu industriālajos parkos uz...",https://www.delfi.lv/bizness/55159262/nekustamais-ipasums/120068167/piche-investes-140-miljonus-eiro-jaunos-industrialajos-parkos,NOT AVAILABLE,26902.8,1076112.0,Latvia
4/9/2025,,Dienas Bizness,Piche investē 140 miljonus eiro jaunos industriālajos parkos,"Latvijas lielākais industriālo parku attīstītājs Piche šogad uzsāk būvniecību sešos jaunajos projektos – trijos Mārupē, divos Dreiliņos un vienā Valdlaučos.

""Kopējā investīciju summa sasniedz 130 miljonus eiro, un plānots izbūvēt vairāk nekā 145 000",http://ct.moreover.com/?a=56449958829&p=1lk&v=1&x=tGQu56exUsrVy6deEv5mTA,NOT AVAILABLE,1969.4,78776.0,Latvia
4/7/2025,Laine Fedotova,LSM.lv,Mārupes pašvaldības lēmumi bremzē militāro preču ražošanas attīstību,"Nesaskaņās starp industriālo parku attīstītāju, uzņēmumu ""Piche"" un Mārupes novada būvvaldi par ķīlnieku kļuvis militāro preču ražotājs, uzņēmums ""Ammunity"". Tas šonedēļ palika bez biroja telpām, vēsta Latvijas Televīzijas raidījums ""De facto"".",https://www.lsm.lv/raksts/zinas/ekonomika/06.04.2025-marupes-pasvaldibas-lemumi-bremze-militaro-precu-razosanas-attistibu.a594413/?utm_source=lsm&utm_medium=frontpage-theme-slider&utm_campaign=frontpage-theme-slider-4,NOT AVAILABLE,785.85,31434.0,Latvia
4/7/2025,,Delfi Latvia,Как латвийский производитель военных товаров оказался жертвой бюрократической неразберихи,"...открытом пространстве"", — объясняет член правления Ammunity Беате Краузе-Чеботаре.

В чем проблема?

Компания арендовала помещения у Piche — девелопера, специализирующегося на строительстве и сдаче в аренду офисов и складов. Объект был сдан в эксплуа...",http://ct.moreover.com/?a=56432774645&p=1lk&v=1&x=Ai43j7qyqssoHHc8dh7vWw,NEUTRAL,26902.8,1076112.0,Latvia
4/7/2025,Редакция Lsm,LSM.LV Russian,Производитель военных товаров — случайная жертва бюрократии,"Предприятие Ammunity — производитель товаров военного назначения — стало заложником разногласий между девелопером индустриального парка, компанией Piche, и стройуправой Маупского края, из-за которых оно не может въехать в свой новый офис.",https://rus.lsm.lv/statja/novosti/analitika/07.04.2025-proizvoditel-voennyx-tovarov-slucainaya-zertva-byurokratii.a594404/,POSITIVE,0.25,10.0,Latvia
4/6/2025,София Солдатенко,Apollo.lv,Militāro preču ražotāji cieš no birokrātiskā sloga,"...[projektu], vai uzliek kaut kādus kreizī (neadekvātus – red.) šķēršļus, principā uzņēmums pilnībā tiek paralizēts,” pauž SIA “Piche” valdes priekšsēdētājs Pēteris Senkāns.

Te gan ir būtiska detaļa – teikt, ka Mārupes novada Būvvalde lika šķēršļus ti...",https://www.apollo.lv/8224806/militaro-precu-razotaji-cies-no-birokratiska-sloga,NOT AVAILABLE,9197.77,367911.0,Latvia
4/6/2025,,Valgamaalane,Решения Марупского края задерживают возобновление производства военных товаров,"...согласно нуждам клиента необходимо построить помещения меньшего размера и санузлы. Поэтому 14 марта, сразу же после того, как Piche сдало в эксплуатацию переделанные для предприятия помещения, оно подало в стройуправу Марупского края проект перестрой...",http://ct.moreover.com/?a=56429494209&p=1lk&v=1&x=6wM1e9w1eBFjhUvdOzIfpw,POSITIVE,29.68,1187.0,Estonia
4/6/2025,Ева Ойжинская,TVNET,Решения Марупского края задерживают возобновление производства военных товаров,"...согласно нуждам клиента необходимо построить помещения меньшего размера и санузлы. Поэтому 14 марта, сразу же после того, как Piche сдало в эксплуатацию переделанные для предприятия помещения, оно подало в стройуправу Марупского края проект перестрой...",https://rus.tvnet.lv/8224827/resheniya-marupskogo-kraya-zaderzhivayut-vozobnovlenie-proizvodstva-voennyh-tovarov,NOT AVAILABLE,20507.25,820290.0,Latvia
4/6/2025,,Neatkarīgā Rīta Avīze,Raidījums: militāro preču ražošanas attīstība Mārupē kavējas domes lēmumu dēļ,"...[projektu], vai uzliek kaut kādus kreizī (neadekvātus - red.) šķēršļus, principā uzņēmums pilnībā tiek paralizēts,” pauž SIA “Piche” valdes priekšsēdētājs Pēteris Senkāns.

Mārupes novada Būvvalde lēmuma pieņemšanu atlika par gandrīz četriem mēnešiem...",https://nra.lv/latvija/487648-raidijums-domes-lemumu-del-kavejas-militaro-precu-razosanas-attistiba-marupe.htm,NOT AVAILABLE,9961.03,398441.0,Latvia
4/6/2025,,TVNET,Mārupes pašvaldības lēmumi kavē militāro preču ražošanas uzsākšanu,"...[projektu], vai uzliek kaut kādus kreizī (neadekvātus – red.) šķēršļus, principā uzņēmums pilnībā tiek paralizēts,” pauž SIA “Piche” valdes priekšsēdētājs Pēteris Senkāns.

Te gan ir būtiska detaļa – teikt, ka Mārupes novada Būvvalde lika šķēršļus ti...",http://ct.moreover.com/?a=56429469605&p=1lk&v=1&x=sXU-Jn5T9PuVBgopSuq5SQ,NOT AVAILABLE,20507.25,820290.0,Latvia
4/6/2025,Ева Ойжинская,TVNET,Mārupes pašvaldības lēmumi kavē militāro preču ražošanas uzsākšanu,"...[projektu], vai uzliek kaut kādus kreizī (neadekvātus – red.) šķēršļus, principā uzņēmums pilnībā tiek paralizēts,” pauž SIA “Piche” valdes priekšsēdētājs Pēteris Senkāns.

Te gan ir būtiska detaļa – teikt, ka Mārupes novada Būvvalde lika šķēršļus ti...",https://www.tvnet.lv/8224802/marupes-pasvaldibas-lemumi-kave-militaro-precu-razosanas-uzsaksanu,NOT AVAILABLE,20507.25,820290.0,Latvia
4/6/2025,Laine Fedotova,LSM.lv,Mārupes pašvaldības lēmumi bremzē militāro preču ražošanas attīstību,"...[projektu], vai uzliek kaut kādus kreizī (neadekvātus – red.) šķēršļus, principā uzņēmums pilnībā tiek paralizēts,"" pauda SIA ""Piche"" valdes priekšsēdētājs Pēteris Senkāns.

Te gan ir būtiska detaļa – teikt, ka Mārupes novada Būvvalde lika šķēršļus t...",https://www.lsm.lv/raksts/zinas/ekonomika/06.04.2025-marupes-pasvaldibas-lemumi-bremze-militaro-precu-razosanas-attistibu.a594413/,NOT AVAILABLE,785.85,31434.0,Latvia
3/12/2025,,Travel News.lv,12. marts vēsturē: «airBaltic» Pilotu akadēmija atklāj jauno lidmašīnu angāru Liepājā,"Angāra celtniecību īstenoja būvfirma PICHE un tas ekspluatācijā tika nodots 2020. gada 10. februārī.

Vairāk par Pilotu akadēmiju un tās piedāvājumiem var uzzināt šeit.

Par rakstu pārpublicēšanas noteikumiem lūdzam kontaktēties ar Travelnews.lv reda...",http://ct.moreover.com/?a=56227518251&p=1lk&v=1&x=1Avz8EtGS2_4efzJp5DALQ,NOT AVAILABLE,,,Latvia
3/12/2025,,Travelnews.lv - Akcijas & Svētki,"12. marts vēsturē: «airBaltic» Pilotu akadēmija atklāj jauno lidmašīnu angāru Liepājā ĪSTS VIDUSLAIKU RAUTS UN DANČI ""Pavasara danči"" TDA ""Svīta"" lielkoncerts Kas jauns Tukumā? Ekskursijas Kodolraķešu bāzē Zeltiņos 2025","Angāra celtniecību īstenoja būvfirma PICHE un tas ekspluatācijā tika nodots 2020. gada 10. februārī.

Vairāk par Pilotu akadēmiju un tās piedāvājumiem var uzzināt šeit

Par rakstu pārpublicēšanas noteikumiem lūdzam kontaktēties ar Travelnews.lv redak...",https://travelnews.lv/?m_id=18526&i_id=5&pub_id=149124&12-marts-vesture:-airBaltic-Pilotu-akademija-atklaj-jauno-lidmasinu-angaru-Liepaja,NOT AVAILABLE,0.25,10.0,Latvia
3/5/2025,,Dienas Bizness,Colliers: Pērn darījumi ar komercīpašumiem Latvijā veikti par 133 miljoniem eiro,"""Colliers Baltic"" partneris un Industriālo platību un loģistikas aģentūras vadītājs Kaspars Gražulis sacīja, ka Latvijas tirgū industriālo platību attīstību veic pārsvarā trīs attīstītāji - ""VGP"", ""Piche"" un ""Sirin Development"", kuri katru gadu telpu",http://ct.moreover.com/?a=56174523004&p=1lk&v=1&x=-O2EkeOihoQ-3WCtjUV5aA,NOT AVAILABLE,1969.4,78776.0,Latvia
