Published Date,Author,Outlet,Headline,Contextual Snippet,URL,Sentiment,AVE(USD),Impressions,Country
5/19/2025,,Traders Union,Gerbiame jūsų privatumą,"...mokesčių ir verslo konsultacijų bendrovė „PwC“ bei vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“.

Verslo centre „Hero“ taip pat įsikurs du restoranai, kavinė, dermatologijos klinika „Sapiegos klinika“...",https://www.traders.lt/page.php?id=39060,NOT AVAILABLE,15646.3,625852.0,Lithuania
5/19/2025,,Verslo žinios,Verslo centro „Hero“ vystytojai pradeda platinti naują 5 mln. eurų obligacijų emisijos dalį,"...mokesčių ir verslo konsultacijų bendrovė „PwC“ bei vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“.

Per ankstesnes viešas obligacijų emisijos dalis į „Hero“ jau suinvestavo daugiau nei tūkstantis invest...",http://ct.moreover.com/?a=56772824469&p=1lk&v=1&x=e5_tXGMIjfgGsH0BzoD3Qw,NOT AVAILABLE,20470.8,818832.0,Lithuania
5/14/2025,Naglis Navakas,Verslo žinios,"Verslo centrui „Hero“ obligacijomis skolinsis 5 mln. Eur už 7,12%","m. ploto verslo centras duris atvers šių metų rugsėjį. Patalpas pagrindinei savo veiklai čia jau išsinuomojo „Cobalt“, „PwC“, „Sirin Development“.",http://ct.moreover.com/?a=56736976378&p=1lk&v=1&x=61qcoCbTYaAZp3Z-musEmQ,NOT AVAILABLE,20470.8,818832.0,Lithuania
5/14/2025,,BNS Spaudos centras,"Verslo centrui „Hero“ artėjant link finišo, planuojama nauja 5 mln. eurų obligacijų emisijos dalis","...mokesčių ir verslo konsultacijų bendrovė „PwC“ bei vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“.

Verslo centre „Hero“ taip pat įsikurs du restoranai, kavinė, dermatologijos klinika „Sapiegos klinika“...",https://sc.bns.lt/view/item/verslo-centrui-hero-artejant-link-finiso-planuojama-nauja-5-mln-euru-obligaciju-emisijos-dalis-507188,NOT AVAILABLE,0.25,10.0,Lithuania
5/14/2025,,Lietuvos naujienų agentūra (ELTA),"Verslo centrui „Hero“ artėjant link finišo, planuojama nauja 5 mln. eurų obligacijų emisijos dalis","...mokesčių ir verslo konsultacijų bendrovė „PwC“ bei vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“.

Verslo centre „Hero“ taip pat įsikurs du restoranai, kavinė, dermatologijos klinika „Sapiegos klinika“...",http://ct.moreover.com/?a=56734681305&p=1lk&v=1&x=I2oOgydslz9g9VEd8ZvBzQ,NOT AVAILABLE,158.58,6343.0,Lithuania
5/14/2025,Lukas Gudavičius,Verslo Idėjos,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai/,NOT AVAILABLE,0.25,10.0,Lithuania
5/13/2025,Gabrielė Miliūtė,Litas.lt,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",https://www.litas.lt/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai/,NOT AVAILABLE,12.5,500.0,Lithuania
5/13/2025,Gabrielė Miliūtė,Man.lt,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",https://www.man.lt/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai/,NOT AVAILABLE,,,Lithuania
5/13/2025,,Mano Namai,Sodas ir kiemas,"...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",https://manonamai.lt/mano-miestas/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai,NOT AVAILABLE,3156.0,126240.0,Lithuania
5/13/2025,,BNS Spaudos centras,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",https://sc.bns.lt/view/item/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai-507090,NOT AVAILABLE,0.25,10.0,Lithuania
5/13/2025,,Lietuvos naujienų agentūra (ELTA),"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",http://ct.moreover.com/?a=56726319734&p=1lk&v=1&x=aI4AesqnZ3Jo17QSMWjfXw,NOT AVAILABLE,158.58,6343.0,Lithuania
5/13/2025,,Etaplius.lt,„Hero“ projektas Vilniuje žingsnis po žingsnio artėja link finišo,"...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",http://ct.moreover.com/?a=56726312893&p=1lk&v=1&x=nNQ0S2nGMXSLhZZfZ-LU5A,NOT AVAILABLE,,,Lithuania
5/12/2025,,Verslo žinios,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","...teisės paslaugų lyderių Baltijos šalyse – COBALT, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatolog...",http://ct.moreover.com/?a=56716583169&p=1lk&v=1&x=R_nIbL4LnWZN6859H9m_Mg,NOT AVAILABLE,20470.8,818832.0,Lithuania
5/5/2025,,TVNET,Lietu pret bijušo Rīgas domes ierēdni Vaivodu turpinās iztiesāt vasaras vidū,"...investment 3"". Abi šie uzņēmumi ietilpst Lietuvā reģistrētajā holdingā ""ME Holding NT"".

Lietuvas nekustamo īpašumu attīstītājs ""Sirin Development"" prasīs Rīgas domei atlīdzināt zaudējumus, kas radīti, atceļot 22 zemesgabalu pie lidostas izsoli, 28.m...",http://ct.moreover.com/?a=56660712943&p=1lk&v=1&x=drdfL-pNcqDEqJv_9vnogw,NOT AVAILABLE,20507.25,820290.0,Latvia
5/5/2025,,City24,1Partner hakkab Eestis haldama Baltimaade suurima logistikakinnisvara arendaja varasid,"Jaanuaris Saku vallas avatud 14 000 ruutmeetri suurune Sirin Park Tänassilma on SIRIN Developmenti kümnes logistikapark Balti riikides, ettevõtte koguinvesteering parki ulatus 12 miljoni euroni. Mihkel Pärtel selgitab, et tulevikukindlad uue põlvkonn...",https://www.city24.ee/real-estate-news-story/20996/1partner-hakkab-eestis-haldama-baltimaade-suurima-logistikakinnisvara-arendaja-varasid,NOT AVAILABLE,8400.0,336000.0,Estonia
4/30/2025,,Adaur.ee - Esileht,1Partner hakkab Eestis haldama Baltimaade suurima logistikakinnisvara arendaja SIRIN Development varasid,"Jaanuaris Saku vallas avatud 14 000 ruutmeetri suurune Sirin Park Tänassilma on SIRIN Developmenti kümnes logistikapark Balti riikides, ettevõtte koguinvesteering parki ulatus 12 miljoni euroni. Mihkel Pärtel selgitab, et tulevikukindlad uue põlvkonn...",https://www.adaur.ee/1partner-hakkab-eestis-haldama-baltimaade-suurima-logistikakinnisvara-arendaja-sirin-development-varasid/,NOT AVAILABLE,,,Estonia
