Published Date,Author,Outlet,Headline,Contextual Snippet,URL,Sentiment,AVE(USD),Impressions,Country
5/30/2025,,Adaur.ee - Uudiste arhiiv,Hepsor: Hepsor alustab ärikeskuse arendust Rae vallas,"27.04.2023 Kapitel: Kapitel investeerib Riia bürooarendusse üle 60 miljoni euro, värskeim üürnik on Primend

Kapitel investeerib Elemental Business Centre büroohoonete arendusse Riias üle 60 miljoni euro. Ettevõte sõlmis ehituse finantseerimiseks 35 ",https://www.adaur.ee/hepsor-hepsor-alustab-arikeskuse-arendust-rae-vallas/,NOT AVAILABLE,,,Estonia
5/29/2025,,Lr Valstybė,Vokietija – Reklamos ir rinkodaros paslaugos – Agentur für Marketing- und Kommunikationsdienstleistungen,"Weitere Ausführungen zu Art und Umfang der Leistung ist dem Kapitel 3 der Ausschreibungsunterlagen zu entnehmen.

II.2) Aprašymas:

II.2.1) Kitas (-i) šio pirkimo BVPŽ kodas (-ai):

79340000 Reklamos ir rinkodaros paslaugos

Daugiau informacijos apie",https://lrvalstybe.lt/es-nato-pirkimai/4229851,NEUTRAL,,,Lithuania
5/28/2025,Evelina Povilaitytė,Verslo žinios,Apdovanoti geriausi Baltijos šalių NT projektai,"Biurų kategorijoje komisija laimėtoju pripažino Estijos sostinės Talino širdyje iškilusį kompleksas „Arter“, į kurį jį plėtojanti vietos kapitalo NT kompanija „Kapitel“ investavo virš 150 mln. Eur.

„Tai yra mūsų didžiausias, aukščiausias, brangiausi...",http://ct.moreover.com/?a=56851998609&p=1lk&v=1&x=zwxHbjkRjrHf16SMkV1VNw,NOT AVAILABLE,20470.8,818832.0,Lithuania
5/27/2025,,Lr Valstybė,"Šveicarija – Tiltų ir tunelių, šachtų, požeminių perėjų ir metro statybos darbai – Instandsetzung Weiermattbrücke (Obj. 01) in Liestal BL","Die betrachtete Weiermattbrücke ist eine Brücke für den motorisierten Verkehr gemäss SIA 261 Kapitel 10. Eine Nutzungsänderung ist nicht vorgesehen.

Massnahmen: * Betoninstandsetzung Untersicht, Aufsicht und Widerlager

* Erhöhung Konsolköpfe

* Ers...",https://lrvalstybe.lt/es-nato-pirkimai/4222568,NEUTRAL,,,Lithuania
5/19/2025,Pärnu Sai,Adaur.ee - Esileht,Pärnu: Pärnu on maailma parima elukvaliteediga linnade edetabelis 150. kohal,"Seonduvad uudised

08.01.2018 Kapitel: Juhkentali kvartali arhitektuurivõistluse võitis Arhitekt Martin Aunini töö „Lightpark“

Kinnisvaraettevõte Kapitel, senine E.L.L. Kinnisvara, viis läbi rahvusvahelise kutsutud osalejatega arhitektuurivõistluse ",https://www.adaur.ee/parnu-parnu-on-maailma-parima-elukvaliteediga-linnade-edetabelis-150-kohal/,NOT AVAILABLE,,,Estonia
5/7/2025,kinnisvarauudised.ee,Kinnisvarauudised.ee,„Aasta kinnisvarategu 2024“ laureaat on Arteri kvartal,"27.11.24, 15:14
Kapitel avas 160-miljonilise Arteri kvartali

Tänasest on Tallinna kesklinnas avatud Arteri kvartal, kus on kokku 44 000 m² üüripinda ning mille koguinvesteering on üle 160 miljoni euro. Kvartali arhitekt on Martin Aunin, sisearhitekt",http://ct.moreover.com/?a=56676716359&p=1lk&v=1&x=35zgh70DzY5Gv1UfSG5JLQ,NOT AVAILABLE,,,Estonia
4/30/2025,,Adaur.ee - Esileht,Coop Pank: Coop Panga finantseerimisel valmib Tallinna Äripargis uus tehas,Kapitel arendab ning Eventus Ehitus rajab,https://www.adaur.ee/coop-pank-coop-panga-finantseerimisel-valmib-tallinna-aripargis-uus-tehas/,NOT AVAILABLE,,,Estonia
4/30/2025,,Die Baltische Rundschau - Home,Mit dem Fahrrad durch das kulturelle Herz des Baltikums,"Eine sorgfältige Routenplanung und die Offenheit für spontane Entdeckungen garantieren, dass jeder Kilometer ein neues Kapitel baltischer Geschichte und Lebensart offenbart.",https://baltische-rundschau.eu/mit-dem-fahrrad-durch-das-kulturelle-herz-des-baltikums/,POSITIVE,,,Lithuania
4/4/2025,Evelina Povilaitytė,Verslo žinios,"150 mln. Eur kainavusi sėkmės istorija Estijoje: užtruko dešimtmetį, bet Taline nėra nieko panašaus","„Arter“ yra „Kapitel“ didžiausias, aukščiausias, brangiausias, ilgiausiai trukęs ir ambicingiausias projektas“, – VŽ apibūdina Allanas Remmelkooras, kompanijos projektų vadovas.

Kompleksą sudaro trys 28, 15 ir 9 aukštų pastatai, kurių bendras plotas",http://ct.moreover.com/?a=56411290134&p=1lk&v=1&x=4vYA0fDSBakrhYTRKyFcvw,NOT AVAILABLE,20470.8,818832.0,Lithuania
3/28/2025,,SEB (Online),SEB toetab Piletilevi Grupi strateegilist laienemist ja Kesk-Euroopa turuliidri positsiooni tugevdamist,Kapitel Logisticsi arendatav Solina tehas kvalifitseerus esimese Eesti uusarendusena SEB rohelaenule ja märtsi alguses sinantseeriti Sunly sündikaatlaenu 62 miljoni euro ulatuses.,https://www.seb.ee/foorum/pressiuudised/seb-toetab-piletilevi-grupi-strateegilist-laienemist-ja-kesk-euroopa,NOT AVAILABLE,5775.0,231000.0,Estonia
3/22/2025,,Lr Valstybė,Vokietija – Pramoninės dujos – Abrufrahmenvereinbarung für Trockeneis und Flaschengase,"...(Los 2 bestehend aus 2 Cluster), sowie die Bereitstellung und Einführung eines Flaschentrackingsystems (näheres hierzu siehe Kapitel 2 der Vergabeunterlagen).

II.2) Aprašymas:

II.2.1) Kitas (-i) šio pirkimo BVPŽ kodas (-ai):

24110000 Pramoninės du...",https://www.lrvalstybe.lt/es-nato-pirkimai/4081719,NEUTRAL,,,Lithuania
2/28/2025,,Freecity.lv,Рига вложит более миллиона евро в важный перекресток,"Поделиться:

Фото: Arhitektuuribüroo PLUSS, owner: SIA Kapitel/CC BY-SA 4.0

Рижское самоуправление реконструирует перекресток на улице Сканстес более чем за миллион евро. LETA cообщает, что такое решение сегодня приняла Рижская дума.

Муниципалитет ",http://ct.moreover.com/?a=56137792538&p=1lk&v=1&x=94yasbc9cF6VMn-hd2HndA,NEUTRAL,164.68,6587.0,Latvia
2/28/2025,,Freecity.lv,Рига вложит более миллиона евро в важный перекресток,"Фото: Arhitektuuribüroo PLUSS, owner: SIA Kapitel/CC BY-SA 4.0

Рижское самоуправление реконструирует перекресток на улице Сканстес более чем за миллион евро. LETA cообщает, что такое решение сегодня приняла Рижская дума.

Муниципалитет привлечет 860",https://www.freecity.lv/biznes/97830/,NEUTRAL,164.68,6587.0,Latvia
2/27/2025,Soovid Oma,Tööstusuudised,ST Solina uue tootmishoone turvalahendus muudab tehase töö sujuvaks ja hoiab kokku aega ning raha,"Solina tootmishoone on arendanud Kapitel. Kapitel Logistics juhatuse liige Holger Tilk märgib, et uue tootmiskompleksi arendus on märgiline mitmel põhjusel.

“Esiteks on tegemist rahvusvahelise kontserni suurinvesteeringuga Eesti tööstussektorisse po...",https://www.toostusuudised.ee/sisuturundus/2025/02/27/solina-uue-tootmishoone-turvalahendus-muudab-tehase-too-sujuvaks-ja-hoiab-kokku-aega-ning-raha,NOT AVAILABLE,0.0,,Estonia
2/21/2025,Tööstusuudised.ee,Tööstusuudised.ee,Solina maitseainesegude tehas on valmis,"Foto: Kapitel

Uue tehase koguinvesteering ulatub ligi 30 miljoni euroni. Eriliseks teeb ehituse see, et Kapiteli arendatud ja Solinale 20 aastaks üürile antud hoone kvalifitseerus esimese uue kinnisvaraarendusena SEB grupi rohelaenule. Uues kompleks...",http://ct.moreover.com/?a=56075480667&p=1lk&v=1&x=I63se5nuDJj_i-vDh3rVhA,NOT AVAILABLE,0.0,,Estonia
2/20/2025,kinnisvarauudised.ee,Kinnisvarauudised.ee,Kapitel sai pea 30-miljonilise tootmiskompleksi valmis,,http://ct.moreover.com/?a=56070296653&p=1lk&v=1&x=vkVn74Igq7tmOrvWaTtgOw,NOT AVAILABLE,0.0,,Estonia
2/20/2025,,Ehitaja,Tallinnas Sauel valmis 30-miljoniline tootmiskompleks,"Kapitel arendab ja Eventus Ehitus rajab hoone vastavalt rahvusvahelise rohesertifikaadi BREEAM taseme „Very Good“ nõuetele. Energiatõhus hoone kvalifitseerus esimese uue kinnisvaraarendusena Eestis SEB rohelaenule.

Kapitel arendab Saue vallas, Laagr...",https://www.ehitusuudised.ee/uudised/2025/02/20/sauel-valmis-rohelaenu-toel-30-miljoniline-tootmiskomleks,NOT AVAILABLE,245.65,9826.0,Estonia
2/20/2025,,Ehitaja,Sauel valmis rohelaenu toel suur moodne tootmishoone,"Kapitel arendab ja Eventus Ehitus rajab hoone vastavalt rahvusvahelise rohesertifikaadi BREEAM taseme „Very Good“ nõuetele. Energiatõhus hoone kvalifitseerus esimese uue kinnisvaraarendusena Eestis SEB rohelaenule.

Kapitel arendab Saue vallas, Laagr...",https://www.ehitusuudised.ee/uudised/2025/02/20/sauel-valmis-rohelaenu-toel-suur-moodne-tootmishoone,NOT AVAILABLE,245.65,9826.0,Estonia
