Published Date,Published Time,Saved Date,Edited Date,Timezone,Author,Outlet,Headline,Coverage Snippet,Contextual Snippet,Insight Name,Insight,URL,Image URLs,Attribution,Media Type,Classification,Sentiment,Language,Translated Language,AVE(USD),Impressions,Domain Authority,Word Count,Duration,Continent,Country,Province/State,County,City
5/29/2025,9:29:19 AM,,,UTC,,Vakarų ekspresas,"Inspektoriai nustatė, kad verslininko Dariaus Mockaus valdos praplėstos valstybinės žemės sąskaita","Kaip portalui teigė VTPSI atstovas Rosvaldas Gorbačiovas, atlikus neplaninį patikrinimą Vilniuje, Filaretų gatvėje esančiame žemės sklype, kuris priklauso D. Mockui, nustatyti pažeidimai, kurie turi būti pašalinti. „Patikrinimo metu nustatyta, kad žemės...","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",,,http://ct.moreover.com/?a=56857388922&p=1lk&v=1&x=4yTaiPM8nTvV8twoU9X61g,https://ve.lt/sites/default/files/styles/facebook/public/2025-05/darius-mockus-114.jpg?h=b400d6a7&itok=TqPwMTpO,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,9279.83,371193,47,215,,Europe,Lithuania,,,Klaipeda
5/29/2025,6:30:51 AM,,,UTC,,Madeinvilnius - Nekilnojamas turtas,Statybos inspekcija: verslininko D. Mockaus valdos Vilniuje praplėstos valstybinės žemės sąskaita,"Valstybinė teritorijų planavimo ir statybos inspekcija (VTPSI) nustatė, kad vieno turtingiausių Lietuvos žmonių, verslininko Dariaus Mockaus valdos Vilniuje praplėstos valstybinės žemės sąskaita, skelbia portalas „Delfi“. Kaip portalui teigė VTPSI...","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",,,https://madeinvilnius.lt/verslas/nekilnojamas-turtas/statybos-inspekcija-verslininko-d-mockaus-valdos-vilniuje-praplestos-valstybines-zemes-saskaita/,https://madeinvilnius.lt/wp-content/uploads/2025/05/photo-1407620.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,245,,Europe,Lithuania,,,
5/29/2025,5:18:01 AM,,,UTC,,Respublika,Inspektoriai: verslininko D.Mockaus valdos praplėstos valstybinės žemės sąskaita,"1 nuotr. Darius Mockus. Eltos nuotr. Valstybinė teritorijų planavimo ir statybos inspekcija (VTPSI) nustatė, kad vieno turtingiausių Lietuvos žmonių, verslininko Dariaus Mockaus valdos Vilniuje praplėstos valstybinės žemės sąskaita. Kaip portalui teigė...","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",,,http://ct.moreover.com/?a=56855960220&p=1lk&v=1&x=t9FbzbNTmkHkFhsOG1gBUg,,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,8680.3,347212,49,242,,Europe,Lithuania,,,Vilnius
5/29/2025,5:12:55 AM,,,UTC,,Lietuvos rytas,Vienas turtingiausių Lietuvos žmonių Darius Mockus savo valdas praplėtė prisijungdamas valstybinės žemės,"Kaip portalui teigė VTPSI atstovas Rosvaldas Gorbačiovas, atlikus neplaninį patikrinimą Vilniuje, Filaretų gatvėje, esančiame žemės sklype, kuris priklauso D.Mockui, nustatyti pažeidimai, kurie turi būti pašalinti. „Patikrinimo metu nustatyta, kad žemės...","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",,,https://www.lrytas.lt/verslas/rinkos-pulsas/2025/05/29/news/vienas-turtingiausiu-lietuvos-zmoniu-darius-mockus-savo-valdas-praplete-prisijungdamas-valstybines-zemes-38057543/,https://media.lrytas.lt/images/2025/05/29/050558908-63f056b1-0a3f-48a8-873f-efd13dc8dcbc.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,18375,735000,70,226,,Europe,Lithuania,,,Vilnius
5/29/2025,5:11:25 AM,,,UTC,,Lietuvos rytas,Vienas turtingiausių Lietuvos žmonių Darius Mockus savo valdas praplėtė prisijungdamas valstybinės žemės,"Valstybinė teritorijų planavimo ir statybos inspekcija (VTPSI) nustatė, kad vieno turtingiausių Lietuvos žmonių, verslininko Dariaus Mockaus, valdos Vilniuje praplėstos valstybinės žemės sąskaita, skelbia portalas „Delfi“.Kaip portalui teigė VTPSI...","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",,,http://ct.moreover.com/?a=56855910551&p=1lk&v=1&x=fC77bqOfoWLznx7e1pBPcg,https://media.lrytas.lt/images/2025/05/29/050558908-63f056b1-0a3f-48a8-873f-efd13dc8dcbc.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,18375,735000,70,230,,Europe,Lithuania,,,Vilnius
5/29/2025,5:10:57 AM,,,UTC,,Etaplius.lt,"Inspektoriai nustatė, kad verslininko D. Mockaus valdos praplėstos valstybinės žemės sąskaita","Valstybinė teritorijų planavimo ir statybos inspekcija (VTPSI) nustatė, kad vieno turtingiausių Lietuvos žmonių, verslininko Dariaus Mockaus valdos Vilniuje praplėstos valstybinės žemės sąskaita, skelbia portalas „Delfi“. Kaip portalui teigė VTPSI...","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",,,http://ct.moreover.com/?a=56855908727&p=1lk&v=1&x=lSXUasNZBAEOKcBESYSj4g,https://media.etaplius.lt/media/article/364741_59290997.webp,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,,,,240,,Europe,Lithuania,,,
5/29/2025,5:02:27 AM,,,UTC,,Alfa.lt,"Inspektoriai nustatė, kad verslininko D. Mockaus valdos praplėstos valstybinės žemės sąskaita","Kaip portalui teigė VTPSI atstovas Rosvaldas Gorbačiovas, atlikus neplaninį patikrinimą Vilniuje, Filaretų gatvėje, esančiame žemės sklype, kuris priklauso D. Mockui, nustatyti pažeidimai, kurie turi būti pašalinti. „Patikrinimo metu nustatyta, kad žemės...","Bendrovė valdo šias pagrindines verslo grupes: mažmeninės prekybos drabužiais („Aprangos“ grupė), greito vartojimo prekių gamybos ir prekybos („MV Group“), nekilnojamo turto vystymo ir statybų („Darnu Group“), žiniasklaidos („Laisvas ir nepriklausoma...",,,https://www.alfa.lt/aktualijos/nusikaltimai-ir-nelaimes/inspektoriai-nustate-kad-verslininko-d-mockaus-valdos-praplestos-valstybines-zemes-saskaita/-40364741,https://iq.alfa.lt/photo/000040364/741/MAIN_600.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,6568.43,262737,55,215,,Europe,Lithuania,,,Vilnius
5/28/2025,7:15:55 AM,,,UTC,Parengė Darnu,Delfi Lietuva,„Darnu Group“ valdomi „Vilniaus verslo parkai“ pasipildė 6 naujais klientais,Didžiausios prekybinių ir sandėliavimo patalpų (angl. stock-office) plėtotojos Vilniuje „Darnu Group “ valdomi „Vilniaus verslo parkai“ Gariūnuose ir šalia Ukmergės g. pasipildė dar šešiais naujais verslais. Šalia Ukmergės gatvės esančiame „Vilniaus...,"Visas siūlomas patalpas „Vilniaus verslo parko“ kompleksuose verslai gali tiek nuomotis, tiek ir įsigyti – tokią galimybę „Darnu Group“ siūlo vieninteliai rinkoje. Be to, siekiant užtikrinti kuo didesnį lankstumą ir patogumą klientams, „Vilniaus vers...",,,https://www.delfi.lt/bustas/nt-rinka/darnu-group-valdomi-vilniaus-verslo-parkai-pasipilde-6-naujais-klientais-120111916,https://images.delfi.lt/media-api-image-cropper/v1/b6f6b2c2-7509-4f9b-9257-13bac38397d8.jpg?w=1200&h=800,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,43660.4,1746416,81,663,,Europe,Lithuania,,,Vilnius
5/28/2025,6:40:27 AM,,,UTC,,Lietuvos rytas,Vilnius Business Parks managed by Darnu Group acquired 6 new clients,"Vilnius Business Park, located next to Ukmergės Street, is home to Technoclass UAB, which offers virtual reality experiences; AITI Group UAB, a provider of telecommunication and communication equipment; Forstila UAB, which sells timber and its products;...","Businesses have the flexibility to either lease or purchase all the premises available in Vilnius Business Park complexes, a distinctive offering that sets Darnu Group apart in the market. Moreover, to ensure maximum flexibility and convenience for c...",,,https://www.lrytas.lt/english/business-tribune/2025/05/27/news/vilnius-business-parks-managed-by-darnu-group-acquired-6-new-clients-38045927,https://media.lrytas.lt/images/2025/05/28/063335931-1e94bc4f-726f-4e99-a63f-bdb7c3afaa8e.jpg,,ONLINE_NEWS,,POSITIVE,English,,18375,735000,70,831,,Europe,Lithuania,,,Vilnius
5/28/2025,2:48:00 AM,,,UTC,Darnu Group,Verslo žinios,„Darnu Group“ valdomi „Vilniaus verslo parkai“ pasipildė 6 naujais klientais,"Šalia Ukmergės gatvės esančiame „Vilniaus verslo parke“ įsikūrė virtualios realybės patirtis siūlanti UAB „Technoclass“, telekomunikacijų ir ryšio priemonėmis prekiaujanti UAB „AITI Group“, medienos ir jos gaminių prekyba užsiimanti UAB „Forstila“ bei...","Itin svarbiu veiksniu tampa ir pilnas bei kokybiškas patalpų įrengimas, ženkliai taupantis laiką persikėlimo procese“, – sako „Darnu Group“ pardavimų ir nuomos vadovas Mykolas Čiplys.

Sprendimą diktavo projekto kokybė ir išlaidų optimizacija

Įmonės",,,http://ct.moreover.com/?a=56846284071&p=1lk&v=1&x=YXPVrwLiK1Xrr8eyWTf2XA,https://www.vz.lt/image/1280/story/image/kktZenvj-afxu1gww-vvp-1-v1.jpg?1729795298&label=MARKETING,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,20470.8,818832,59,637,,Europe,Lithuania,,,Vilnius
