Published Date,Published Time,Saved Date,Edited Date,Timezone,Author,Outlet,Headline,Coverage Snippet,Contextual Snippet,Insight Name,Insight,URL,Image URLs,Attribution,Media Type,Classification,Sentiment,Language,Translated Language,AVE(USD),Impressions,Domain Authority,Word Count,Duration,Continent,Country,Province/State,County,City
5/19/2025,2:47:42 PM,,,UTC,,Traders Union,Gerbiame jūsų privatumą,"Mes ir mūsų partneriaisaugome ir (arba) pasiekiam informaciją įrenginyje, pvz., slapukų, ir apdorojame asmens duomenis, pvz., unikalius identifikatorius ir standartinę informaciją, siunčiamą įrenginiu siekiant pritaikyto skelbimų ir turinio, skelbimų ir...","...mokesčių ir verslo konsultacijų bendrovė „PwC“ bei vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“.

Verslo centre „Hero“ taip pat įsikurs du restoranai, kavinė, dermatologijos klinika „Sapiegos klinika“...",,,https://www.traders.lt/page.php?id=39060,https://www.traders.lt/datas/img/news/images/n/nt_hero.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,15646.3,625852,46,601,,Europe,Lithuania,,,
5/19/2025,3:06:14 AM,,,UTC,,Verslo žinios,Verslo centro „Hero“ vystytojai pradeda platinti naują 5 mln. eurų obligacijų emisijos dalį,"Šeštajame obligacijų emisijos platinimo etape, truksiančiame nuo gegužės 19 d. iki birželio 6 d., investuotojai iš Lietuvos, Latvijos bei Estijos galės įsigyti obligacijų su 7,12 proc. pajamingumu. Vienos obligacijos kaina – 1013,95 Eur. Įsipareigojimų...","...mokesčių ir verslo konsultacijų bendrovė „PwC“ bei vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“.

Per ankstesnes viešas obligacijų emisijos dalis į „Hero“ jau suinvestavo daugiau nei tūkstantis invest...",,,http://ct.moreover.com/?a=56772824469&p=1lk&v=1&x=e5_tXGMIjfgGsH0BzoD3Qw,https://www.vz.lt/image/1280/story/image/gDIesQYV-qmln8yd4-dji-0524-big-v1.jpg?1729795298&label=MARKETING,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,20470.8,818832,59,497,,Europe,Lithuania,,,Vilnius
5/14/2025,4:52:27 PM,,,UTC,Naglis Navakas,Verslo žinios,"Verslo centrui „Hero“ obligacijomis skolinsis 5 mln. Eur už 7,12%","Emisija skirta finansuoti Vilniaus centriniame verslo rajone plėtojamo verslo centro „Hero“ statyboms. Per ankstesnes penkias emisijos dalis investuotojai jau įsigijo obligacijų už daugiau nei 40 mln. Eur. Šeštajame obligacijų emisijos platinimo etape,...","m. ploto verslo centras duris atvers šių metų rugsėjį. Patalpas pagrindinei savo veiklai čia jau išsinuomojo „Cobalt“, „PwC“, „Sirin Development“.",,,http://ct.moreover.com/?a=56736976378&p=1lk&v=1&x=61qcoCbTYaAZp3Z-musEmQ,https://www.vz.lt/image/1280/story/image/1uys0D2f-ivair-3.jpg?1729795298,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,20470.8,818832,59,290,,Europe,Lithuania,,,Vilnius
5/14/2025,12:17:26 PM,,,UTC,,BNS Spaudos centras,"Verslo centrui „Hero“ artėjant link finišo, planuojama nauja 5 mln. eurų obligacijų emisijos dalis","Su Lietuvos nekilnojamojo turto (NT) plėtotoju „Realco“ susijusi UAB „Sostinės bokštai“ gegužės 19 d. pradės viešai platinti šeštąją, iki 5 mln. eurų dydžio, obligacijų emisijos dalį, skirtą finansuoti Vilniaus centriniame verslo rajone plėtojamo verslo...","...mokesčių ir verslo konsultacijų bendrovė „PwC“ bei vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“.

Verslo centre „Hero“ taip pat įsikurs du restoranai, kavinė, dermatologijos klinika „Sapiegos klinika“...",,,https://sc.bns.lt/view/item/verslo-centrui-hero-artejant-link-finiso-planuojama-nauja-5-mln-euru-obligaciju-emisijos-dalis-507188,https://sc.bns.lt/docs/1/507188/original_Hero1.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,492,,Europe,Lithuania,,,
5/14/2025,11:54:40 AM,,,UTC,,Lietuvos naujienų agentūra (ELTA),"Verslo centrui „Hero“ artėjant link finišo, planuojama nauja 5 mln. eurų obligacijų emisijos dalis","Su Lietuvos nekilnojamojo turto (NT) plėtotoju „Realco“ susijusi UAB „Sostinės bokštai“ gegužės 19 d. pradės viešai platinti šeštąją, iki 5 mln. eurų dydžio, obligacijų emisijos dalį, skirtą finansuoti Vilniaus centriniame verslo rajone plėtojamo verslo...","...mokesčių ir verslo konsultacijų bendrovė „PwC“ bei vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“.

Verslo centre „Hero“ taip pat įsikurs du restoranai, kavinė, dermatologijos klinika „Sapiegos klinika“...",,,http://ct.moreover.com/?a=56734681305&p=1lk&v=1&x=I2oOgydslz9g9VEd8ZvBzQ,https://www.elta.lt/media/images/elta_fb_share_img.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,158.58,6343,44,467,,Europe,Lithuania,,,Vilnius
5/14/2025,3:39:43 AM,,,UTC,Lukas Gudavičius,Verslo Idėjos,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","Jau šį rugsėjį duris atversiančio verslo centro „Hero“ įrengimo darbai sparčiai juda į priekį. Baigiamos įrengti biurų erdvės, pastate jau veikia pagrindinės inžinerinės sistemos. Pirmuose aukštuose formuojamos erdvės paslaugų įmonėms. Reklama Užbaigus...","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",,,https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201584%20396'%3E%3C/svg%3E,data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20952%20537'%3E%3C/svg%3E,https://versloidejos.lt/wp-content/uploads/2025/05/original_Hero3-2.jpg,data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20728%2090'%3E%3C/svg%3E",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,747,,Europe,Lithuania,,,
5/13/2025,8:15:50 PM,,,UTC,Gabrielė Miliūtė,Litas.lt,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","Jau šį rugsėjį duris atversiančio verslo centro „Hero“ įrengimo darbai sparčiai juda į priekį. Baigiamos įrengti biurų erdvės, pastate jau veikia pagrindinės inžinerinės sistemos. Pirmuose aukštuose formuojamos erdvės paslaugų įmonėms. Užbaigus fasado...","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",,,https://www.litas.lt/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai/,"https://www.litas.lt/data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI4NDAiIGhlaWdodD0iNDczIiB2aWV3Qm94PSIwIDAgODQwIDQ3MyI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,12.5,500,27,715,,Europe,Lithuania,,,
5/13/2025,6:49:39 PM,,,UTC,Gabrielė Miliūtė,Man.lt,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","Jau šį rugsėjį duris atversiančio verslo centro „Hero“ įrengimo darbai sparčiai juda į priekį. Baigiamos įrengti biurų erdvės, pastate jau veikia pagrindinės inžinerinės sistemos. Pirmuose aukštuose formuojamos erdvės paslaugų įmonėms. Užbaigus fasado...","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",,,https://www.man.lt/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai/,"https://www.man.lt/data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI4NDAiIGhlaWdodD0iNDczIiB2aWV3Qm94PSIwIDAgODQwIDQ3MyI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=,https://www.man.lt/wp-content/uploads/2025/05/original_Hero2-800x533.jpg",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,,,,715,,Europe,Lithuania,,,
5/13/2025,1:40:30 PM,,,UTC,,Mano Namai,Sodas ir kiemas,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai Jau šį rugsėjį duris atversiančio verslo centro „Hero“ įrengimo darbai sparčiai juda į priekį. Baigiamos įrengti...","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",,,https://manonamai.lt/mano-miestas/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai,"https://manonamai.lt/wp-content/uploads/2025/05/IMG_9604-1000x667.jpeg,https://manonamai.lt/wp-content/uploads/2025/05/IMG_9605-770x513.jpeg",,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,3156,126240,34,731,,Europe,Lithuania,,,Vilnius
5/13/2025,1:28:52 PM,,,UTC,,BNS Spaudos centras,"„Hero“ projektas žingsnis po žingsnio artėja link finišo: patalpos jau įrengiamos pagal nuomininkų poreikius, vyksta aplinkotvarkos darbai","Jau šį rugsėjį duris atversiančio verslo centro „Hero“ įrengimo darbai sparčiai juda į priekį. Baigiamos įrengti biurų erdvės, pastate jau veikia pagrindinės inžinerinės sistemos. Pirmuose aukštuose formuojamos erdvės paslaugų įmonėms. Užbaigus fasado...","...teisės paslaugų lyderių Baltijos šalyse – „COBALT“, vienas didžiausių logistikos nekilnojamojo turto vystytojų Baltijos šalyse „Sirin Development“. Čia taip pat planuojamas platus paslaugų paketas – „Hero“ centre veiks du restoranai, kavinė, dermatol...",,,https://sc.bns.lt/view/item/hero-projektas-zingsnis-po-zingsnio-arteja-link-finiso-patalpos-jau-irengiamos-pagal-nuomininku-poreikius-vyksta-aplinkotvarkos-darbai-507090,https://sc.bns.lt/docs/1/507090/original_Hero3.jpg,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,0.25,10,,740,,Europe,Lithuania,,,
