"Published Date","Published Time","Saved Date","Edited Date",Timezone,Author,Outlet,Headline,"Coverage Snippet","Contextual Snippet","Insight Name",Insight,URL,"Image URLs",Attribution,"Media Type",Classification,Sentiment,Language,"Translated Language",AVE(USD),Impressions,"Domain Authority","Word Count",Duration,Continent,Country,Province/State,County,City
05/29/2025,"02:41:10 PM",,,UTC,"Kamilė Gineikaitė","Verslo žinios","Senųjų Vilniaus oro uosto terminalų patalpas sutarė atnaujinti už 15 mln. Eur","Sutarties vertė – 15 mln. Eur (be PVM). Darbus bendrovė turi įgyvendinti per 1,5 m., iki 2026-ųjų pabaigos. Konkurse, be KRS, taip pat pasiūlymus teikė UAB „Jungtiniai projektai“, UAB „VA statyba“, UAB „Eika Construction“, UAB „Infes“, UAB „Naresta“.","Konkurse, be KRS, taip pat pasiūlymus teikė UAB „Jungtiniai projektai“, UAB „VA statyba“, UAB „Eika Construction“, UAB „Infes“, UAB „Naresta“.",,,"http://ct.moreover.com/?a=56859580798&p=1lk&v=1&x=jRAvXItESd2AN8fq0IHjQA","https://www.vz.lt/image/1280/story/image/h6jQpc8v-20240829-gsk-9825.jpg?1729795298",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,20470.8,818832,59,38,,Europe,Lithuania,,,Vilnius
05/28/2025,"01:17:20 PM",,,UTC,,15min.lt,"„Pilietiškumo festivalyje“ – provokuojanti diskusija apie verslo auginimo, atsakomybės ir vertybių simbiozę","Birželio 7 d. Leonpolio dvare (Ukmergės raj.) vyksiantis „Pilietiškumo festivalis“ kvies visuomenę ne tik stebėti, bet ir įsitraukti į prasmingas diskusijas apie valstybės ateitį. Viena svarbiausių programos temų – verslo ir pilietiškumo santykis, rašoma...","Robertas Dargis, EIKA Group valdybos pirmininkas, Lietuvos pramonininkų konfederacijos viceprezidentas, verslininkas, kurio veikla jau ne vieną dešimtmetį siejama su miestų vystymu, darniu augimu ir diskusijomis apie pažangią visuomenę, pasidalins įž...",,,"https://www.15min.lt/verslas/naujiena/bendroves/pilietiskumo-festivalyje-provokuojanti-diskusija-apie-verslo-auginimo-atsakomybes-ir-vertybiu-simbioze-663-2459268","https://s1.15min.lt/static/cache/OTcweDU4MCw4MDd4NjEwLDExNzQwMDgsb3JpZ2luYWwsLGlkPTk2OTY1ODYmZGF0ZT0yMDI0JTJGMDglMkYyMCw0MjUwNTY3NjY1/leonpolio-dvaras-66c442e211bb2.jpg,https://s1.15min.lt/static/cache/MTIwMHg2MjgsODA3eDYxMCwxMTc0MDA4LG9yaWdpbmFsLCxpZD05Njk2NTg2JmRhdGU9MjAyNCUyRjA4JTJGMjAsMTAwMTM2MTUxMg==/leonpolio-dvaras-66c442e211bb2.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,31955.78,1278231,73,496,,Europe,Lithuania,,,Vilnius
05/28/2025,"07:11:54 AM",,,UTC,"Parengė Lords","Delfi Lietuva","Kodėl verta investuoti į komercinį nekilnojamąjį turtą Rygoje","Lietuvos investuotojai vis dažniau ieško naujų galimybių investuoti į nekilnojamąjį turtą kitose šalyse. Vienas iš miestų, kuris ir toliau traukia dėmesį, yra Ryga – Latvijos sostinė ir didžiausias ekonomikos centras. Dėl stabilios grąžos, nuolatinės...","Ryga lietuvių investuotojams nėra naujiena. Į ją jau įžengė tokie stiprūs rinkos dalyviai kaip „Capitalica“, „Galio Group“, „Akropolis“, „Eika“, „Lords LB“, „VPH“ ir „Prosperus“, demonstruodami ilgalaikį pasitikėjimą miesto potencialu.

„Colliers Bal...",,,"https://www.delfi.lt/bustas/nt-rinka/kodel-verta-investuoti-i-komercini-nekilnojamaji-turta-rygoje-120113050","https://images.delfi.lt/media-api-image-cropper/v1/4dc9ed1f-5a7b-4cf9-a13e-a0b08a0ed12d.jpg?w=1200&h=800",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,43660.4,1746416,81,858,,Europe,Lithuania,,,Vilnius
05/28/2025,"04:47:31 AM",,,UTC,,Palangostiltas.lt,"Palangoje rezervavo butą „iš brėžinių“, o statybos stovi jau antrus metus: kaip neapsigauti?","Nusprendus rinktis „popierinį butą“ būtina nuodugniai patikrinti vystytoją, jo projektus, atidžiai suderėti pirkimo-pardavimo sutartis. FOTO: SHUTTERSTOCK Nekilnojamojo turto (NT) rinkos žinovams teigiant, kad vėl ima daugėti tik brėžiniuose...","Anot jo, ankstyvas rezervacijas taip pat skelbia tokie rinkos gigantai kaip bendrovės YIT ar „Eika“.

Lietuvos NT brokerių asociacijos vadovė Jurgita Dingelytė sako, kad tokios rezervacijos niekur nebuvo dingusios. „Nepasakyčiau, kad toks reiškinys r...",,,"https://www.palangostiltas.lt/palangoje+rezervavo+buta+is+breziniu+o+statybos+stovi+jau+antrus+metus+kaip+neapsigauti,7,2,20748.html","https://www.palangostiltas.lt/cache/../cache/24f39c77608cb50140ad385ebf17355c.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,,,,1195,,Europe,Lithuania,,,
05/27/2025,"09:26:41 AM",,,UTC,,15min.lt,"Pinigai sumokėti, o statybos sustojo: pataria, kaip nelikti apgautiems","Nekilnojamojo turto (NT) rinkos žinovams teigiant, kad vėl ima daugėti tik brėžiniuose egzistuojančių butų rezervacijų, gyvenimas primena, kad tai gali būti ne pats geriausias sprendimas. Pajūryje vėl fiksuojamas atvejis, kai su rimtomis bėdomis susidūrė...","Anot jo, ankstyvas rezervacijas taip pat skelbia tokie rinkos gigantai kaip bendrovės YIT ar „Eika“.

Lietuvos NT brokerių asociacijos vadovė Jurgita Dingelytė sako, kad tokios rezervacijos niekur nebuvo dingusios.

„Nepasakyčiau, kad toks reiškinys ",,,"https://www.15min.lt/verslas/naujiena/nt-ir-interjeras/pinigai-sumoketi-o-statybos-sustojo-pataria-kaip-nelikti-apgautiems-971-2458162","https://s1.15min.lt/static/cache/OTcweDU4MCwsNzc0NzA0LG9yaWdpbmFsLCxpZD00MjgwMDM4JmRhdGU9MjAxOCUyRjEwJTJGMjksMTYzMTk0NjU2MQ==/architect-working-on-blueprint-architects-workplace-architectural-project-blueprints-ruler-calculato-5bd6b4bee1d66.jpg,https://s1.15min.lt/static/cache/MTIwMHg2MjgsLDc3NDcwNCxvcmlnaW5hbCwsaWQ9NDI4MDAzOCZkYXRlPTIwMTglMkYxMCUyRjI5LDIzMDEwMzAzNzE=/architect-working-on-blueprint-architects-workplace-architectural-project-blueprints-ruler-calculato-5bd6b4bee1d66.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,31955.78,1278231,73,1156,,Europe,Lithuania,,,Vilnius
05/27/2025,"08:58:59 AM",,,UTC,"Valdas Pryšmantas","Delfi Lietuva","Palangoje rezervavo butą „iš brėžinių“, o statybos stovi jau antrus metus: kaip neapsigauti?","NT specialistai sako, kad dabar tokių atvejų, kai naujų projektų vystytojai neįvykdo savo duotų pažadų pinigus už būstą sumokėjusiems žmonėms, vis dar pasitaiko. Teismų praktika rodo, kad du panašūs atvejai per pastarąjį pusmetį fiksuoti Palangoje: juos...","Anot jo, ankstyvas rezervacijas taip pat skelbia tokie rinkos gigantai kaip bendrovės YIT ar „Eika“.

Lietuvos NT brokerių asociacijos vadovė Jurgita Dingelytė sako, kad tokios rezervacijos niekur nebuvo dingusios. „Nepasakyčiau, kad toks reiškinys r...",,,"http://ct.moreover.com/?a=56839965210&p=1lk&v=1&x=rtEszMXPmknJ6JSDUXeRVg","https://images.delfi.lt/media-api-image-cropper/v1/c1257b83-e326-4e65-b489-ea2444287129.jpg?w=1200&h=800",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,43660.4,1746416,78,1121,,Europe,Lithuania,,,Vilnius
05/27/2025,"08:38:11 AM",,,UTC,,15min.lt,"Kodėl verta investuoti į komercinį nekilnojamąjį turtą Rygoje","Lietuvos investuotojai vis dažniau ieško naujų galimybių investuoti į nekilnojamąjį turtą kitose šalyse. Vienas iš miestų, kuris ir toliau traukia dėmesį, yra Ryga – Latvijos sostinė ir didžiausias ekonomikos centras. Dėl stabilios grąžos, nuolatinės...","Ryga lietuvių investuotojams nėra naujiena. Į ją jau įžengė tokie stiprūs rinkos dalyviai kaip „Capitalica“, „Galio Group“, „Akropolis“, „Eika“, „Lords LB“, „VPH“ ir „Prosperus“, demonstruodami ilgalaikį pasitikėjimą miesto potencialu.

„Colliers Bal...",,,"https://www.15min.lt/verslas/naujiena/nt-ir-interjeras/kodel-verta-investuoti-i-komercini-nekilnojamaji-turta-rygoje-971-2458084","https://s1.15min.lt/static/cache/MTIwMHg2MjgsLDEyMTk0MTAsb3JpZ2luYWwsLGlkPTEwMTMwMTQwJmRhdGU9MjAyNSUyRjA1JTJGMjcsMjczNDE3ODQzMw==/kodel-verta-investuoti-i-komercini-nekilnojamaji-turta-rygoje-6835744c34017.jpg,https://s1.15min.lt/static/cache/OTcweDU4MCwsMTIxOTQxMCxvcmlnaW5hbCwsaWQ9MTAxMzAxNDAmZGF0ZT0yMDI1JTJGMDUlMkYyNywyMTA3Njc4Njkx/kodel-verta-investuoti-i-komercini-nekilnojamaji-turta-rygoje-6835744c34017.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,31955.78,1278231,73,834,,Europe,Lithuania,,,Vilnius
05/27/2025,"03:05:28 AM",,,UTC,"Kristina Aržuolaitienė",15min.lt,"Į būsto rinką sugrįžo seniai neregėta praktika: paaiškino, kodėl","Išankstinių rezervacijų dar nepradėtuose statyti nekilnojamojo turto (NT) projektuose, vadinamųjų būsto pirkimų „brėžinių“, NT rinka nematė nuo 2022 m. pradžios. Kodėl ši tendencija grįžo? Šį tendencija atspindi ne tik vis labiau rinka pasitikinčius...","Ankstyvas rezervacijas balandį pradėjo taikyti įmonės „Omberg Group“, YIT, „Eika“.

Pasak „Omberg Group“ komercijos direktorės Juditos Gedutienės, tokios paklausos dar nestatomiems ir viešai nesiūlomiems projektams jau seniai nebuvo. Tai, pasak jos, ",,,"https://www.15min.lt/verslas/naujiena/nt-ir-interjeras/i-busto-rinka-sugrizo-seniai-neregeta-praktika-paaiskino-kodel-971-2455584","https://s1.15min.lt/static/cache/OTcweDU4MCw4NTl4Mzc2LDYxNjIwOSxvcmlnaW5hbCwsaWQ9NTg5MjMwNiZkYXRlPTIwMjElMkYwNCUyRjI4LDE2MzAzNzA0Nzk=/nekilnojamas-turtas-608920e81b123.jpg,https://s1.15min.lt/static/cache/MTIwMHg2MjgsODU5eDM3Niw2MTYyMDksb3JpZ2luYWwsLGlkPTU4OTIzMDYmZGF0ZT0yMDIxJTJGMDQlMkYyOCwyNTY1Mjk2NTMz/nekilnojamas-turtas-608920e81b123.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,31955.78,1278231,73,106,,Europe,Lithuania,,,Vilnius
05/26/2025,"01:00:17 PM",,,UTC,"Lukas Gudavičius","Verslo Idėjos","Kodėl verta investuoti į komercinį nekilnojamąjį turtą Rygoje","Lietuvos investuotojai vis dažniau ieško naujų galimybių investuoti į nekilnojamąjį turtą kitose šalyse. Vienas iš miestų, kuris ir toliau traukia dėmesį, yra Ryga – Latvijos sostinė ir didžiausias ekonomikos centras. Dėl stabilios grąžos, nuolatinės...","Ryga lietuvių investuotojams nėra naujiena. Į ją jau įžengė tokie stiprūs rinkos dalyviai kaip „Capitalica“, „Galio Group“, „Akropolis“, „Eika“, „Lords LB“, „VPH“ ir „Prosperus“, demonstruodami ilgalaikį pasitikėjimą miesto potencialu. „Lords LB Spec...",,,"https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/kodel-verta-investuoti-i-komercini-nekilnojamaji-turta-rygoje/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201584%20396'%3E%3C/svg%3E,https://versloidejos.lt/wp-content/uploads/2025/05/original_PresesNamaKvartalsverslocentras-1-scaled.jpg,data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201710%202560'%3E%3C/svg%3E,data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201703%202560'%3E%3C/svg%3E",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,0.25,10,,909,,Europe,Lithuania,,,
05/26/2025,"10:02:35 AM",,,UTC,"Viktorija Chockevičiūtė-Žilinskė","Delfi Lietuva","2025.05.26 12:58 Piniginiai reikalai. Domas Dargis – apie NT kainas ir investicijų kryptis","Šiais metais mažėjant paskolų palūkanų normoms į Lietuvos būsto rinką sugrįžo ir pirkėjai. Sandorių skaičius auga, o nekilnojamojo turto (NT ) analitikai kalba, kad derybinė galia atsiduria pardavėjų rankose. Laidoje „Piniginiai reikalai “ kalbamasi su...","Laidoje „Piniginiai reikalai “ kalbamasi su „Eika Group “ generaliniu direktoriumi Domu Dargiu – apie atsigavimą būsto rinkoje, NT kainas ir planuojamą NT mokestį.

O taip pat „Eika Group“ yra paskelbusi, kad šiais metais iš viso į projektus užsienyj...",,,"https://www.delfi.lt/verslas/verslas/piniginiai-reikalai-domas-dargis-apie-nt-kainas-ir-investiciju-kryptis-120112687","https://images.delfi.lt/media-api-image-cropper/v1/a3961cce-6332-43a6-8bdc-c306a5b85a04.jpg?w=1200&h=800",,ONLINE_NEWS,,"NOT AVAILABLE",Lithuanian,,43660.4,1746416,78,91,,Europe,Lithuania,,,Vilnius
