"Published Date","Published Time","Saved Date","Edited Date",Timezone,Author,Outlet,Headline,"Coverage Snippet","Contextual Snippet","Insight Name",Insight,URL,"Image URLs",Attribution,"Media Type",Classification,Sentiment,Language,"Translated Language",AVE(USD),Impressions,"Domain Authority","Word Count",Duration,Continent,Country,Province/State,County,City
05/07/2025,"04:00:17 AM",,,UTC,"Sander Silm",Postimees,"Kinnisvaraarendaja sõnul pelutab mäng maksudega välisinvestoreid","Ärikinnisvara arendava ja nõustava ettevõtte Restate kaasasutaja ja nõukogu liige Ardi Roosimaa leiab, et välisinvestori jaoks pole Eestis peamine mitte geopoliitiline risk, vaid pigem valitsuste ootamatud maksuotsused, mis muudavad siinse...","Ärikinnisvara arendava ja nõustava ettevõtte Restate kaasasutaja ja nõukogu liige Ardi Roosimaa leiab, et välisinvestori jaoks pole Eestis peamine mitte geopoliitiline risk, vaid pigem valitsuste ootamatud maksuotsused, mis muudavad siinse ettevõtlus...",,,"https://majandus.postimees.ee/8243839/kinnisvaraarendaja-sonul-pelutab-mang-maksudega-valisinvestoreid","https://f9.pmo.ee/Vr5VunA_wupLTn_kh9g1K3FAt2s=/1200x630/filters:format(webp)/nginx/o/2025/05/07/16825364t1h512c.jpg,//f9.pmo.ee/EwtGBwbU9gSxo8r6urLlP9CsaGs=/1442x0/filters:format(webp)/nginx/o/2025/05/07/16825364t1h512c.jpg",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,135832.5,5433300,72,144,,Europe,Estonia,,,Tallinn
05/02/2025,"10:48:57 AM",,,UTC,,"Eesti Võrkpalli Liit","Beach44 rannahallis peeti sarikapidu – uus keskus avatakse juba sügisel","30. aprillil pandi Luige spordimajale nurgakivi ja peeti koos projektiga seotud inimestega maha sarikapidu. Beach44 rannahall ja Padel+ padelihall valmivad juba sel sügisel. Vihmane ja külm ilm ei rikkunud pidulikule üritusele saabunud poolesaja inimese...","sajandi tervisevaktsiin,” sõnas Restate’i kinnisvaraarenduste projektijuht Ardi Roosimaa avakõnes. Esialgu kavandas Restate Viljandi maanteele antud pinnale stockoffice’it, kuid Roosimaa sõnul on neil hea meel, et lõpuks jõuti ettevõtte esimese spord...",,,"https://volley.ee/beach44-rannahallis-peeti-sarikapidu-uus-keskus-avatakse-juba-sugisel/",,,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,361,,Europe,Estonia,,,
05/02/2025,"09:02:52 AM",,,UTC,,Ehitaja,"Restate ja Eventus ehitavad Luigele spordimaja","30. aprillil sai nurgakivi ja sarikad Luige Spordimaja Tallinna ringteel, mis valmib juba käesoleva aasta augustis. Hoone projekteeris ROK projekti arhitekt Karmo Tõra. Ehitajaks on Eventus Ehitus. Luige Spordimaja kogupindala on üle 3500 ruutmeetri,...",,,,"https://www.ehitusuudised.ee/uudised/2025/05/02/restate-ja-eventus-ehitavad-luigele-spordimaja","https://static-img.aripaev.ee/?type=preview&uuid=41600e4f-b4f0-580a-a8cc-3680d19e9548&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=70018dda-1529-5705-a20c-1c23004f63ca&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=1e54f24d-47f0-5710-9acb-edf113225455&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=76d7e1f9-1af3-5ac1-ad86-2c77d8d65384&width=828&q=70,https://static-img.aripaev.ee/?type=preview&uuid=38ecdac9-5a4b-5a33-a73a-824891f8bdec&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=0ad4ac95-c258-5130-a067-5933b64e7428&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=76d7e1f9-1af3-5ac1-ad86-2c77d8d65384&width=1200&q=85,https://static-img.aripaev.ee/?type=preview&uuid=f745de88-fa1c-509f-91b9-7cc0fca3730f&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=5ddd2c37-c9a8-5315-aed0-a546efc052a9&width=640&q=70",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,245.65,9826,36,236,,Europe,Estonia,,,Tallinn
05/02/2025,"07:26:07 AM",,,UTC,kinnisvarauudised.ee,Kinnisvarauudised.ee,"3500 lisaruutu: Restate tõmbab Luige Keskuse laiemaks",", 14:31 Kinnisvaraarendaja vaatab peeglisse - pilt on karm Ahnuse kättemaks on valus. Näiteks Everaus Kinnisvara koondas ehitajad. Siin vormub arendusvaldkonna tulevik, mis ei ole kõigile jõukohane. Häda ajab härja kaevu. Ka seda tuleb teha elegantselt...",,,,"http://ct.moreover.com/?a=56635762347&p=1lk&v=1&x=spR6CsSe6WTbrgzT980aKw","https://static-img.aripaev.ee/?type=preview&uuid=2c0c3cc6-bc2d-52f4-853a-2046e96f612c&width=600&q=85,https://static-img.aripaev.ee/?type=preview&uuid=2c0c3cc6-bc2d-52f4-853a-2046e96f612c&width=1200&q=85",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,67,,Europe,Estonia,,,
04/29/2025,"01:23:09 PM",,,UTC,,Ehitaja,"Eesti ettevõtted investeerivad Lätis 40 miljonit eurot","Kristjan-Thor Vähi Invego ning Mapri Ehituse omanikele kuuluv Reterra rajavad Lätis 172 korteriga eluhoone. Riia Miera Rezidences ehitustööde algus on kavandatud 2026. aasta algusesse ning kokku rajatakse kahes etapis 172 uut kodu, teatasid...","aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.

Kui räägitakse ärikinnisvarast, pööratakse enamasti täh...",,,"https://www.ehitusuudised.ee/uudised/2025/04/29/eesti-ettevotted-investeerivad-latis-40-miljonit-eurot","https://static-img.aripaev.ee/?type=preview&uuid=41600e4f-b4f0-580a-a8cc-3680d19e9548&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=1e54f24d-47f0-5710-9acb-edf113225455&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=5a340e39-2059-5914-bec4-8a96a2a9dfc4&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=e8c15ca6-8169-5c38-a492-a723f57f52f3&width=828&q=70,https://static-img.aripaev.ee/?type=preview&uuid=68c5d3b5-fa15-594e-889c-674a9f75cea7&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=e3669c52-2480-582d-8da4-b5d37c0b3f26&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=fb20a0b7-e83d-5be5-a93c-f61db995bdce&width=640&q=70,https://static-img.aripaev.ee/?type=preview&uuid=e8c15ca6-8169-5c38-a492-a723f57f52f3&width=1200&q=85,https://static-img.aripaev.ee/?type=preview&uuid=a877a5d4-2213-5a70-a72b-8093c928cb83&width=640&q=70",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,245.65,9826,36,278,,Europe,Estonia,,,Tallinn
04/25/2025,"01:28:10 PM",,,UTC,"Kaspar Viira",Äripäev,"Kinnisvaraarendaja Everaus plaanib võlakirjad börsile tuua",", 09:16 Kui positiivsed trendid majanduses jätkuvad, siis tõotab 2025. aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik...","aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.",,,"http://ct.moreover.com/?a=56580052005&p=1lk&v=1&x=LmbNQ8VnlnOzEfaCggSkiQ","https://static-img.aripaev.ee/?type=preview&uuid=c8a65b81-a232-59d8-9bdc-88976791f294&width=1200&q=85",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,4324.1,172964,55,32,,Europe,Estonia,,,Tallinn
04/25/2025,"09:49:14 AM",,,UTC,"Julia Linde",Ehitaja,"Julia Linde: uusarenduste turul jätkub ülepakkumine","Kui positiivsed trendid majanduses jätkuvad, siis tõotab 2025. aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.","aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.",,,"http://ct.moreover.com/?a=56578397860&p=1lk&v=1&x=i_l-96OJqaSWN6xZQ79ITQ","https://static-img.aripaev.ee/?type=preview&uuid=c0275db5-b18a-580c-acb4-07b84912b767&width=1200&q=85,https://static-img.aripaev.ee/?type=preview&uuid=c0275db5-b18a-580c-acb4-07b84912b767&width=600&q=85",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,245.65,9826,36,30,,Europe,Estonia,,,Tallinn
04/25/2025,"07:26:06 AM",,,UTC,kinnisvarauudised.ee,Kinnisvarauudised.ee,"Maakler: koduostjate eelistused on vastuolulised","Pindi Kinnisvara kutseline maakler Olav Leok möönis, et hiljuti avaldatud Norstati uuringu tulemused koduostjate eelistuste kohta on vastuolulised ning kajastavad eelkõige inimeste unistusi, mitte tegelikku pilti. Foto: Andras Kralla „Kui pooled...","aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.

23.04.25, 17:13
Euribor langes täna järsult

Eesti laen...",,,"http://ct.moreover.com/?a=56577473138&p=1lk&v=1&x=Z1EZpPJTHIJD4-3EQVnOsg","https://static-img.aripaev.ee/?type=preview&uuid=2e603b5e-ea75-53d5-9964-984c018c23e6&width=1200&q=85,https://static-img.aripaev.ee/?type=preview&uuid=2e603b5e-ea75-53d5-9964-984c018c23e6&width=600&q=85",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,304,,Europe,Estonia,,,
04/24/2025,"06:26:04 AM",,,UTC,"Julia Linde",Kinnisvarauudised.ee,"Julia Linde: kinnisvaraturg on kevadiselt elav","Kui positiivsed trendid majanduses jätkuvad, siis tõotab 2025. aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia...","aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.

“Vastupidiselt aktiivsele järelturule ei ole uute korte...",,,"http://ct.moreover.com/?a=56568206113&p=1lk&v=1&x=JtSUp5UJsn8Dow2Vg_Ftjw","https://static-img.aripaev.ee/?type=preview&uuid=c0275db5-b18a-580c-acb4-07b84912b767&width=1200&q=85,https://static-img.aripaev.ee/?type=preview&uuid=c0275db5-b18a-580c-acb4-07b84912b767&width=600&q=85",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,123,,Europe,Estonia,,,
04/24/2025,"06:18:29 AM",,,UTC,"Julia Linde",Äripäev,"Julia Linde: kinnisvaraturg on kevadiselt elav","Kui positiivsed trendid majanduses jätkuvad, siis tõotab 2025. aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia...","aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.

Sarnaselt edukale aastalõpule oli ka 2025. aasta esimen...",,,"https://www.aripaev.ee/arvamused/2025/04/24/julia-linde-kinnisvaraturg-on-kevadiselt-elav","https://static-img.aripaev.ee/?type=preview&uuid=c0275db5-b18a-580c-acb4-07b84912b767&width=1200&q=85,https://static-img.aripaev.ee/?type=preview&uuid=c0275db5-b18a-580c-acb4-07b84912b767&width=828&q=70",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,4324.1,172964,55,121,,Europe,Estonia,,,Tallinn
04/10/2025,"10:26:05 AM",,,UTC,kinnisvarauudised.ee,Kinnisvarauudised.ee,"Tallinna üüriturul valitseb hinnatõusu ootus",", 12:42 Madal üüritootlus vähendab üürileandjate motivatsiooni vähetasuva üüriäriga tegeleda - nii on üürileandjatel tugev tahe üürihindu ülespoole suruda, kirjutab kinnisvaraportaali KV.EE juhataja Tarvo Teslon. Jaga X (Twitter) Foto: Andras...","Uusarenduste turuosa aktiviseerumist võib oodata pigem aasta keskpaigast, kirjutab kinnisvarafirma Restate analüütik Julia Linde.

01.04.25, 15:01

Kandideerimise tähtaeg 25.04.2025",,,"http://ct.moreover.com/?a=56459828625&p=1lk&v=1&x=mHwwL09JVsPXoJeF_UpR7g","https://static-img.aripaev.ee/?type=preview&uuid=167edbec-1d37-5454-a231-60c990533655&width=600&q=85,https://static-img.aripaev.ee/?type=preview&uuid=167edbec-1d37-5454-a231-60c990533655&width=1200&q=85",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,161,,Europe,Estonia,,,
04/02/2025,"07:04:25 AM",,,UTC,,"Adaur.ee - Uudiste arhiiv","EfTEN: EfTEN Real Estate Fund AS-i tütarettevõtja omandas kinnistu Nõmme Südamekodu hooldekodu rajamiseks","Adaur.ee 31.03.2025. a viis EfTEN Hiiu OÜ lõpule tehingu, millega omandas Südamekodud AS-ilt Tallinnas, Hiiu tn 42 kinnistu. Varasemalt (20.02.2025) on fond teatanud börsile võlaõigusliku müügilepingu sõlmimisest, milles kokkulepitud omandi üleandmise ja...","Kokkuleppe eesmärgiks on ehitada kinnistul paiknev h

30.09.2024 EfTEN: Tütarettevõtja asutamine ning RESTATE grupilt ehitusjärgus oleva ICONFIT tootmis- ja laohoone ostmine

EfTEN Real Estate Fund AS-i tütarettevõtja EfTEN Paemurru OÜ sõlmis 27.09.2...",,,"https://www.adaur.ee/eften-eften-real-estate-fund-as-i-tutarettevotja-omandas-kinnistu-nomme-sudamekodu-hooldekodu-rajamiseks/","https://i0.wp.com/www.adaur.ee/wp-content/2023/04/EfTEN-Real-Estate-Fund.png?resize=300%2C131&ssl=1",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,277,,Europe,Estonia,,,
03/26/2025,"03:01:23 PM",,,UTC,"Moderaator Kärt Tomp","Adaur.ee - Uudiste arhiiv","Kutse 7. mail 2025 toimuvale konverentsile “Kuhu liigub Eesti kinnisvaraturg?”","Hea kinnisvaraturu osaline! 7. mail 2025. a ootavad Eesti Kinnisvarafirmade Liit ja Coop Pank sind taas Park Inn by Radisson Meriton Hotel Tallinn konverentsikeskuses (Paldiski mnt 4, Tallinn) toimuvale traditsioonilisele kevadkonverentsile „Kuhu liigub...","...Kurtmann, Coop Panga juhatuse liige/ärikliendipanganduse juht

Kas äripindade sektor „ajab üle ääre“?

Moderaator Ardi Roosimaa, Restate nõukogu liige

Diskussioonpaneelis Liina Tettermann, Guido Pärnits, Gert Jostov

Kinnisvarasektor pärast Ukraina ...",,,"https://www.adaur.ee/kutse-7-mail-2025-toimuvale-konverentsile-kuhu-liigub-eesti-kinnisvaraturg-2/","https://i0.wp.com/www.adaur.ee/wp-content/2025/03/Kutse-7.-mail-toimuvale-konverentsile-Kuhu-liigub-Eesti-kinnisvaraturg-1.png?w=560&ssl=1,https://i0.wp.com/www.adaur.ee/wp-content/2025/03/Kutse-7.-mail-toimuvale-konverentsile-Kuhu-liigub-Eesti-kinnisvaraturg-2.png?resize=768%2C358&ssl=1",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,357,,Europe,Estonia,,,
03/12/2025,"03:02:44 PM",,,UTC,"Moderaator Kärt Tomp","Adaur.ee - Esileht","Kutse 7. mail 2025 toimuvale konverentsile “Kuhu liigub Eesti kinnisvaraturg?”","Hea kinnisvaraturu osaline! 7. mail 2025. a ootavad Eesti Kinnisvarafirmade Liit ja Coop Pank sind taas Park Inn by Radisson Meriton Hotel Tallinn konverentsikeskuses (Paldiski mnt 4, Tallinn) toimuvale traditsioonilisele kevadkonverentsile „Kuhu liigub...","...Kurtmann, Coop Panga juhatuse liige/ärikliendipanganduse juht

Kas äripindade sektor „ajab üle ääre“?

Moderaator Ardi Roosimaa, Restate nõukogu liige

Diskussioonpaneelis Liina Tettermann, Guido Pärnits, Gert Jostov

Kinnisvarasektor pärast Ukraina ...",,,"https://www.adaur.ee/kutse-7-mail-2025-toimuvale-konverentsile-kuhu-liigub-eesti-kinnisvaraturg/","https://i0.wp.com/www.adaur.ee/wp-content/2025/03/Kutse-7.-mail-toimuvale-konverentsile-Kuhu-liigub-Eesti-kinnisvaraturg-1.png?w=560&ssl=1,https://i0.wp.com/www.adaur.ee/wp-content/2025/03/Kutse-7.-mail-toimuvale-konverentsile-Kuhu-liigub-Eesti-kinnisvaraturg-2.png?resize=768%2C358&ssl=1",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,,,,349,,Europe,Estonia,,,
02/26/2025,"10:41:18 AM",,,UTC,"Мари Кангур","Err.ee - Rus","Нуждающиеся в ремонте квартиры в панельных домах Таллинна находят покупателя за пару часов","Нуждающиеся в ремонте квартиры в панельных домах в Таллинне быстро находят покупателей. Это связано с тем, что квартиры покупают флипперы – люди, которые ремонтируют их и через несколько месяцев снова выставляют на продажу. Продаже квартир на вторичном...","...упали почти на 45%, а продажи квартир на вторичном рынке за тот же период выросли почти на 20%. Аналитик фирмы по недвижимости Restate Юлия Линде пояснила, что флипперы в прямом смысле слова охотятся за нуждающимися в ремонте квартирами в панельных д...",,,"http://ct.moreover.com/?a=56116132234&p=1lk&v=1&x=FVCjcSRS4rFvBKnZ1sVTrg","https://s.err.ee/photo/crop/2024/11/08/2610193h1be1t24.jpg",,ONLINE_NEWS,,POSITIVE,Russian,,96533.0,3861320,76,483,,Europe,Estonia,,,
02/22/2025,"01:23:42 PM",,,UTC,"Äripäeva Raadio",Äripäev,"Raadiohitid: Oleg Grossi läbilöök ja Liis Lassi portfell","Nädala hittides tuli juttu nii investeerimisest, julgolekust, majandustulemustest kui suurettevõtja igapäevast. Lisaks kuulati huviga, mis toimub kinnisvaraturul. “Mõnikord häirib, et kas tõesti on minu aeg ümber. Ma loodan, et veel ei ole,“ rääkis Oleg...","Teatud turusegmenti on üsna aktiivselt juba mõjutamas flippijad.Turu aktiivsuse kasvu kirjeldab saate teise poole alguses kinnisvarafirma Restate analüütik Julia Linde, kes toob välja, et külgsuunas liikuval kinnisvaraturul tegutsevad taaskord üsna a...",,,"http://ct.moreover.com/?a=56086771828&p=1lk&v=1&x=7rnkzsAg2lDHWsVNgdihrw","https://static-img.aripaev.ee/?type=preview&uuid=275bddbd-3a0b-5771-853d-fa65e4e53aa7&width=1200&q=85",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,4324.1,172964,55,706,,Europe,Estonia,,,Tallinn
02/20/2025,"11:08:05 AM",,,UTC,"Lauri Leet",Äripäev,"Hinnakasv kinnisvaras inflatsiooni veel ei löö, aga üht-teist teha juba annab","Lauri Leet Analüütikud ei ole selgel seisukohal, millal kinnisvara hinnakasv hakkab taaskord inflatsiooni ületama, ent sellise hetke saabumine on enam kui ootuspärane, leiab Kinnisvarabüroo Uus Maa analüütik Igor Habal. Teatud turusegmenti on üsna...","Turu aktiivsuse kasvu kirjeldab saate teise poole alguses kinnisvarafirma Restate analüütik Julia Linde, et toob välja, et külgsuunas liikuval kinnisvaraturul tegutsevad taaskord üsna aktiivselt flippijad, kes noolivad kindlat tüüpi kortereid, mis ju...",,,"http://ct.moreover.com/?a=56068744927&p=1lk&v=1&x=EwAm-MW2i1heWgIrkTf5rQ","https://static-img.aripaev.ee/?type=preview&uuid=a4d79395-4d2a-5c23-aa4d-6ab9525e7d8f&width=1200&q=85",,ONLINE_NEWS,,"NOT AVAILABLE",Estonian,,4324.1,172964,55,294,,Europe,Estonia,,,Tallinn
