Published Date,Author,Outlet,Headline,Contextual Snippet,URL,Sentiment,AVE(USD),Impressions,Country
5/7/2025,Sander Silm,Postimees,Kinnisvaraarendaja sõnul pelutab mäng maksudega välisinvestoreid,"Ärikinnisvara arendava ja nõustava ettevõtte Restate kaasasutaja ja nõukogu liige Ardi Roosimaa leiab, et välisinvestori jaoks pole Eestis peamine mitte geopoliitiline risk, vaid pigem valitsuste ootamatud maksuotsused, mis muudavad siinse ettevõtlus...",https://majandus.postimees.ee/8243839/kinnisvaraarendaja-sonul-pelutab-mang-maksudega-valisinvestoreid,NOT AVAILABLE,135832.5,5433300.0,Estonia
5/2/2025,,Eesti Võrkpalli Liit,Beach44 rannahallis peeti sarikapidu – uus keskus avatakse juba sügisel,"sajandi tervisevaktsiin,” sõnas Restate’i kinnisvaraarenduste projektijuht Ardi Roosimaa avakõnes. Esialgu kavandas Restate Viljandi maanteele antud pinnale stockoffice’it, kuid Roosimaa sõnul on neil hea meel, et lõpuks jõuti ettevõtte esimese spord...",https://volley.ee/beach44-rannahallis-peeti-sarikapidu-uus-keskus-avatakse-juba-sugisel/,NOT AVAILABLE,,,Estonia
5/2/2025,,Ehitaja,Restate ja Eventus ehitavad Luigele spordimaja,,https://www.ehitusuudised.ee/uudised/2025/05/02/restate-ja-eventus-ehitavad-luigele-spordimaja,NOT AVAILABLE,245.65,9826.0,Estonia
5/2/2025,kinnisvarauudised.ee,Kinnisvarauudised.ee,3500 lisaruutu: Restate tõmbab Luige Keskuse laiemaks,,http://ct.moreover.com/?a=56635762347&p=1lk&v=1&x=spR6CsSe6WTbrgzT980aKw,NOT AVAILABLE,,,Estonia
4/29/2025,,Ehitaja,Eesti ettevõtted investeerivad Lätis 40 miljonit eurot,"aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.

Kui räägitakse ärikinnisvarast, pööratakse enamasti täh...",https://www.ehitusuudised.ee/uudised/2025/04/29/eesti-ettevotted-investeerivad-latis-40-miljonit-eurot,NOT AVAILABLE,245.65,9826.0,Estonia
4/25/2025,Kaspar Viira,Äripäev,Kinnisvaraarendaja Everaus plaanib võlakirjad börsile tuua,"aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.",http://ct.moreover.com/?a=56580052005&p=1lk&v=1&x=LmbNQ8VnlnOzEfaCggSkiQ,NOT AVAILABLE,4324.1,172964.0,Estonia
4/25/2025,Julia Linde,Ehitaja,Julia Linde: uusarenduste turul jätkub ülepakkumine,"aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.",http://ct.moreover.com/?a=56578397860&p=1lk&v=1&x=i_l-96OJqaSWN6xZQ79ITQ,NOT AVAILABLE,245.65,9826.0,Estonia
4/25/2025,kinnisvarauudised.ee,Kinnisvarauudised.ee,Maakler: koduostjate eelistused on vastuolulised,"aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.

23.04.25, 17:13
Euribor langes täna järsult

Eesti laen...",http://ct.moreover.com/?a=56577473138&p=1lk&v=1&x=Z1EZpPJTHIJD4-3EQVnOsg,NOT AVAILABLE,,,Estonia
4/24/2025,Julia Linde,Kinnisvarauudised.ee,Julia Linde: kinnisvaraturg on kevadiselt elav,"aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.

“Vastupidiselt aktiivsele järelturule ei ole uute korte...",http://ct.moreover.com/?a=56568206113&p=1lk&v=1&x=JtSUp5UJsn8Dow2Vg_Ftjw,NOT AVAILABLE,,,Estonia
4/24/2025,Julia Linde,Äripäev,Julia Linde: kinnisvaraturg on kevadiselt elav,"aasta kinnisvaraturu kõigis segmentides mõõdukalt hea tulla, ent uusarendustest on jätkuvalt ülepakkumine ja üüriturg soojeneb aeglaselt, kirjutab kinnisvarafirma Restate analüütik Julia Linde.

Sarnaselt edukale aastalõpule oli ka 2025. aasta esimen...",https://www.aripaev.ee/arvamused/2025/04/24/julia-linde-kinnisvaraturg-on-kevadiselt-elav,NOT AVAILABLE,4324.1,172964.0,Estonia
