Published Date,Author,Outlet,Headline,Contextual Snippet,URL,Sentiment,AVE(USD),Impressions,Country
5/29/2025,Kamilė Gineikaitė,Verslo žinios,Senųjų Vilniaus oro uosto terminalų patalpas sutarė atnaujinti už 15 mln. Eur,"Konkurse, be KRS, taip pat pasiūlymus teikė UAB „Jungtiniai projektai“, UAB „VA statyba“, UAB „Eika Construction“, UAB „Infes“, UAB „Naresta“.",http://ct.moreover.com/?a=56859580798&p=1lk&v=1&x=jRAvXItESd2AN8fq0IHjQA,NOT AVAILABLE,20470.8,818832.0,Lithuania
5/28/2025,,15min.lt,"„Pilietiškumo festivalyje“ – provokuojanti diskusija apie verslo auginimo, atsakomybės ir vertybių simbiozę","Robertas Dargis, EIKA Group valdybos pirmininkas, Lietuvos pramonininkų konfederacijos viceprezidentas, verslininkas, kurio veikla jau ne vieną dešimtmetį siejama su miestų vystymu, darniu augimu ir diskusijomis apie pažangią visuomenę, pasidalins įž...",https://www.15min.lt/verslas/naujiena/bendroves/pilietiskumo-festivalyje-provokuojanti-diskusija-apie-verslo-auginimo-atsakomybes-ir-vertybiu-simbioze-663-2459268,NOT AVAILABLE,31955.78,1278231.0,Lithuania
5/28/2025,Parengė Lords,Delfi Lietuva,Kodėl verta investuoti į komercinį nekilnojamąjį turtą Rygoje,"Ryga lietuvių investuotojams nėra naujiena. Į ją jau įžengė tokie stiprūs rinkos dalyviai kaip „Capitalica“, „Galio Group“, „Akropolis“, „Eika“, „Lords LB“, „VPH“ ir „Prosperus“, demonstruodami ilgalaikį pasitikėjimą miesto potencialu.

„Colliers Bal...",https://www.delfi.lt/bustas/nt-rinka/kodel-verta-investuoti-i-komercini-nekilnojamaji-turta-rygoje-120113050,NOT AVAILABLE,43660.4,1746416.0,Lithuania
5/28/2025,,Palangostiltas.lt,"Palangoje rezervavo butą „iš brėžinių“, o statybos stovi jau antrus metus: kaip neapsigauti?","Anot jo, ankstyvas rezervacijas taip pat skelbia tokie rinkos gigantai kaip bendrovės YIT ar „Eika“.

Lietuvos NT brokerių asociacijos vadovė Jurgita Dingelytė sako, kad tokios rezervacijos niekur nebuvo dingusios. „Nepasakyčiau, kad toks reiškinys r...","https://www.palangostiltas.lt/palangoje+rezervavo+buta+is+breziniu+o+statybos+stovi+jau+antrus+metus+kaip+neapsigauti,7,2,20748.html",NOT AVAILABLE,,,Lithuania
5/27/2025,,15min.lt,"Pinigai sumokėti, o statybos sustojo: pataria, kaip nelikti apgautiems","Anot jo, ankstyvas rezervacijas taip pat skelbia tokie rinkos gigantai kaip bendrovės YIT ar „Eika“.

Lietuvos NT brokerių asociacijos vadovė Jurgita Dingelytė sako, kad tokios rezervacijos niekur nebuvo dingusios.

„Nepasakyčiau, kad toks reiškinys ",https://www.15min.lt/verslas/naujiena/nt-ir-interjeras/pinigai-sumoketi-o-statybos-sustojo-pataria-kaip-nelikti-apgautiems-971-2458162,NOT AVAILABLE,31955.78,1278231.0,Lithuania
5/27/2025,Valdas Pryšmantas,Delfi Lietuva,"Palangoje rezervavo butą „iš brėžinių“, o statybos stovi jau antrus metus: kaip neapsigauti?","Anot jo, ankstyvas rezervacijas taip pat skelbia tokie rinkos gigantai kaip bendrovės YIT ar „Eika“.

Lietuvos NT brokerių asociacijos vadovė Jurgita Dingelytė sako, kad tokios rezervacijos niekur nebuvo dingusios. „Nepasakyčiau, kad toks reiškinys r...",http://ct.moreover.com/?a=56839965210&p=1lk&v=1&x=rtEszMXPmknJ6JSDUXeRVg,NOT AVAILABLE,43660.4,1746416.0,Lithuania
5/27/2025,,15min.lt,Kodėl verta investuoti į komercinį nekilnojamąjį turtą Rygoje,"Ryga lietuvių investuotojams nėra naujiena. Į ją jau įžengė tokie stiprūs rinkos dalyviai kaip „Capitalica“, „Galio Group“, „Akropolis“, „Eika“, „Lords LB“, „VPH“ ir „Prosperus“, demonstruodami ilgalaikį pasitikėjimą miesto potencialu.

„Colliers Bal...",https://www.15min.lt/verslas/naujiena/nt-ir-interjeras/kodel-verta-investuoti-i-komercini-nekilnojamaji-turta-rygoje-971-2458084,NOT AVAILABLE,31955.78,1278231.0,Lithuania
5/27/2025,Kristina Aržuolaitienė,15min.lt,"Į būsto rinką sugrįžo seniai neregėta praktika: paaiškino, kodėl","Ankstyvas rezervacijas balandį pradėjo taikyti įmonės „Omberg Group“, YIT, „Eika“.

Pasak „Omberg Group“ komercijos direktorės Juditos Gedutienės, tokios paklausos dar nestatomiems ir viešai nesiūlomiems projektams jau seniai nebuvo. Tai, pasak jos, ",https://www.15min.lt/verslas/naujiena/nt-ir-interjeras/i-busto-rinka-sugrizo-seniai-neregeta-praktika-paaiskino-kodel-971-2455584,NOT AVAILABLE,31955.78,1278231.0,Lithuania
5/26/2025,Lukas Gudavičius,Verslo Idėjos,Kodėl verta investuoti į komercinį nekilnojamąjį turtą Rygoje,"Ryga lietuvių investuotojams nėra naujiena. Į ją jau įžengė tokie stiprūs rinkos dalyviai kaip „Capitalica“, „Galio Group“, „Akropolis“, „Eika“, „Lords LB“, „VPH“ ir „Prosperus“, demonstruodami ilgalaikį pasitikėjimą miesto potencialu. „Lords LB Spec...",https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/kodel-verta-investuoti-i-komercini-nekilnojamaji-turta-rygoje/,NOT AVAILABLE,0.25,10.0,Lithuania
5/26/2025,Viktorija Chockevičiūtė-Žilinskė,Delfi Lietuva,2025.05.26 12:58 Piniginiai reikalai. Domas Dargis – apie NT kainas ir investicijų kryptis,"Laidoje „Piniginiai reikalai “ kalbamasi su „Eika Group “ generaliniu direktoriumi Domu Dargiu – apie atsigavimą būsto rinkoje, NT kainas ir planuojamą NT mokestį.

O taip pat „Eika Group“ yra paskelbusi, kad šiais metais iš viso į projektus užsienyj...",https://www.delfi.lt/verslas/verslas/piniginiai-reikalai-domas-dargis-apie-nt-kainas-ir-investiciju-kryptis-120112687,NOT AVAILABLE,43660.4,1746416.0,Lithuania
