Published Date,Published Time,Saved Date,Edited Date,Timezone,Author,Outlet,Headline,Coverage Snippet,Contextual Snippet,Insight Name,Insight,URL,Image URLs,Attribution,Media Type,Classification,Sentiment,Language,Translated Language,AVE(USD),Impressions,Domain Authority,Word Count,Duration,Continent,Country,Province/State,County,City
5/30/2025,9:02:01 AM,,,UTC,,Adaur.ee - Uudiste arhiiv,Hepsor: Hepsor alustab ärikeskuse arendust Rae vallas,"Adaur.ee Hepsor AS tütarettevõte Hepsor VT49 OÜ sõlmis pikaajalised üürilepingud Maxima Eesti OÜ ja GYM Eesti OÜ-ga ning alustab uue ärikeskuse arendust aadressil Vana-Tartu mnt 49, Rae vald. Arendatava kahekorruselise ärikeskuse planeeritav üüripind on...","27.04.2023 Kapitel: Kapitel investeerib Riia bürooarendusse üle 60 miljoni euro, värskeim üürnik on Primend

Kapitel investeerib Elemental Business Centre büroohoonete arendusse Riias üle 60 miljoni euro. Ettevõte sõlmis ehituse finantseerimiseks 35 ",,,https://www.adaur.ee/hepsor-hepsor-alustab-arikeskuse-arendust-rae-vallas/,https://www.adaur.ee/wp-content/2024/07/hepsor-300x300.png,,ONLINE_NEWS,,NOT AVAILABLE,Estonian,,,,,195,,Europe,Estonia,,,
5/29/2025,1:20:25 AM,,,UTC,,Lr Valstybė,Vokietija – Reklamos ir rinkodaros paslaugos – Agentur für Marketing- und Kommunikationsdienstleistungen,Ted skelbimo peržiūra Vokietija – Reklamos ir rinkodaros paslaugos – Agentur für Marketing- und Kommunikationsdienstleistungen I dalis: Perkančioji organizacija I.1) Pavadinimas ir adresai: Oficialus pavadinimas: Rheinland-Pfalz Tourismus...,"Weitere Ausführungen zu Art und Umfang der Leistung ist dem Kapitel 3 der Ausschreibungsunterlagen zu entnehmen.

II.2) Aprašymas:

II.2.1) Kitas (-i) šio pirkimo BVPŽ kodas (-ai):

79340000 Reklamos ir rinkodaros paslaugos

Daugiau informacijos apie",,,https://lrvalstybe.lt/es-nato-pirkimai/4229851,,,ONLINE_NEWS,,NEUTRAL,German,,,,,202,,Europe,Lithuania,,,
5/28/2025,5:19:56 PM,,,UTC,Evelina Povilaitytė,Verslo žinios,Apdovanoti geriausi Baltijos šalių NT projektai,"Vienuoliktą kartą organizuojamuose Baltijos NT apdovanojimuose ekspertai įvertino pernai baigtus plėtoti būsto, biurų, prekybos, industrinius, viešbučių ir viešojo sektoriaus projektus. Pernai Lietuvos plėtotojai apdovanoti visose 6 kategorijose, šiemet...","Biurų kategorijoje komisija laimėtoju pripažino Estijos sostinės Talino širdyje iškilusį kompleksas „Arter“, į kurį jį plėtojanti vietos kapitalo NT kompanija „Kapitel“ investavo virš 150 mln. Eur.

„Tai yra mūsų didžiausias, aukščiausias, brangiausi...",,,http://ct.moreover.com/?a=56851998609&p=1lk&v=1&x=zwxHbjkRjrHf16SMkV1VNw,https://www.vz.lt/image/1280/story/image/a9OPj6u0-2025-05-28-foto-46601.jpg?1729795298,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,20470.8,818832,59,696,,Europe,Lithuania,,,Vilnius
5/27/2025,1:17:07 AM,,,UTC,,Lr Valstybė,"Šveicarija – Tiltų ir tunelių, šachtų, požeminių perėjų ir metro statybos darbai – Instandsetzung Weiermattbrücke (Obj. 01) in Liestal BL","Ted skelbimo peržiūra Šveicarija – Tiltų ir tunelių, šachtų, požeminių perėjų ir metro statybos darbai – Instandsetzung Weiermattbrücke (Obj. 01) in Liestal BL I dalis: Perkančioji organizacija I.1) Pavadinimas ir adresai: Oficialus pavadinimas: Stadt...","Die betrachtete Weiermattbrücke ist eine Brücke für den motorisierten Verkehr gemäss SIA 261 Kapitel 10. Eine Nutzungsänderung ist nicht vorgesehen.

Massnahmen: * Betoninstandsetzung Untersicht, Aufsicht und Widerlager

* Erhöhung Konsolköpfe

* Ers...",,,https://lrvalstybe.lt/es-nato-pirkimai/4222568,,,ONLINE_NEWS,,NEUTRAL,German,,,,,259,,Europe,Lithuania,,,
5/19/2025,9:01:42 AM,,,UTC,Pärnu Sai,Adaur.ee - Esileht,Pärnu: Pärnu on maailma parima elukvaliteediga linnade edetabelis 150. kohal,"parnu.ee Pärnu on Londoni Elukvaliteedi Instituudi poolt koostatud maailma kõige õnnelikumate linnade edetabelis 150. kohal, Eesti linnadest pääsesid edetabelisse üksnes Tallinn ja Pärnu. Londoni Elukvaliteedi Instituut (Institute of Quality of Life )...","Seonduvad uudised

08.01.2018 Kapitel: Juhkentali kvartali arhitektuurivõistluse võitis Arhitekt Martin Aunini töö „Lightpark“

Kinnisvaraettevõte Kapitel, senine E.L.L. Kinnisvara, viis läbi rahvusvahelise kutsutud osalejatega arhitektuurivõistluse ",,,https://www.adaur.ee/parnu-parnu-on-maailma-parima-elukvaliteediga-linnade-edetabelis-150-kohal/,https://www.adaur.ee/wp-content/2023/02/Parnu-linn-300x96.png,,ONLINE_NEWS,,NOT AVAILABLE,Estonian,,,,,238,,Europe,Estonia,,,
5/7/2025,10:26:01 AM,,,UTC,kinnisvarauudised.ee,Kinnisvarauudised.ee,„Aasta kinnisvarategu 2024“ laureaat on Arteri kvartal,"Eesti Kinnisvarafirmade Liit valis konkursi Kinnisvarategu 2024 laureaadiks Arteri kvartali arenduse. Aasta kinnisvarategu on Arteri kvartal (Foto: Kapitel). Arteri kvartal on südalinna parimate vaadete ja töökeskkonnaga ärikvartal, mis ühendab Tallinna...","27.11.24, 15:14
Kapitel avas 160-miljonilise Arteri kvartali

Tänasest on Tallinna kesklinnas avatud Arteri kvartal, kus on kokku 44 000 m² üüripinda ning mille koguinvesteering on üle 160 miljoni euro. Kvartali arhitekt on Martin Aunin, sisearhitekt",,,http://ct.moreover.com/?a=56676716359&p=1lk&v=1&x=35zgh70DzY5Gv1UfSG5JLQ,"https://static-img.aripaev.ee/?type=preview&uuid=e5a6a3e0-e766-5a2f-a76b-f06d35589e71&width=1200&q=85,https://static-img.aripaev.ee/?type=preview&uuid=e5a6a3e0-e766-5a2f-a76b-f06d35589e71&width=600&q=85",,ONLINE_NEWS,,NOT AVAILABLE,Estonian,,,,,343,,Europe,Estonia,,,
4/30/2025,3:02:09 PM,,,UTC,,Adaur.ee - Esileht,Coop Pank: Coop Panga finantseerimisel valmib Tallinna Äripargis uus tehas,"Adaur.ee Domus Kinnisvara tähistas sarikapeoga Laanemetsa tee 2 tootmishoone täiskõrguse saavutamist Tallinna Äripargis. Uue tehase võtab 2025. aasta suvel üürnikuna kasutusele Structo Group OÜ, kes loob nutikaid ruumieralduslahendusi kaasaegsetele...",Kapitel arendab ning Eventus Ehitus rajab,,,https://www.adaur.ee/coop-pank-coop-panga-finantseerimisel-valmib-tallinna-aripargis-uus-tehas/,https://www.adaur.ee/wp-content/2018/05/coop-pank-300x300.png,,ONLINE_NEWS,,NOT AVAILABLE,Estonian,,,,,386,,Europe,Estonia,,,
4/30/2025,12:21:27 PM,,,UTC,,Die Baltische Rundschau - Home,Mit dem Fahrrad durch das kulturelle Herz des Baltikums,"Die baltischen Staaten Estland, Lettland und Litauen haben in den letzten Jahren immer mehr Radreisende angezogen. Abseits der ausgetretenen Pfade lässt sich hier historische Vielfalt hautnah entdecken: von mittelalterlichen Altstädten über prächtige...","Eine sorgfältige Routenplanung und die Offenheit für spontane Entdeckungen garantieren, dass jeder Kilometer ein neues Kapitel baltischer Geschichte und Lebensart offenbart.",,,https://baltische-rundschau.eu/mit-dem-fahrrad-durch-das-kulturelle-herz-des-baltikums/,https://u.cubeupload.com/publicitas/3ffBaltikum.jpg,,ONLINE_NEWS,,POSITIVE,German,,,,,624,,Europe,Lithuania,,,
4/4/2025,6:11:39 AM,,,UTC,Evelina Povilaitytė,Verslo žinios,"150 mln. Eur kainavusi sėkmės istorija Estijoje: užtruko dešimtmetį, bet Taline nėra nieko panašaus","„Arter“ yra „Kapitel“ didžiausias, aukščiausias, brangiausias, ilgiausiai trukęs ir ambicingiausias projektas“, – VŽ apibūdina Allanas Remmelkooras, kompanijos projektų vadovas. Kompleksą sudaro trys 28, 15 ir 9 aukštų pastatai, kurių bendras plotas...","„Arter“ yra „Kapitel“ didžiausias, aukščiausias, brangiausias, ilgiausiai trukęs ir ambicingiausias projektas“, – VŽ apibūdina Allanas Remmelkooras, kompanijos projektų vadovas.

Kompleksą sudaro trys 28, 15 ir 9 aukštų pastatai, kurių bendras plotas",,,http://ct.moreover.com/?a=56411290134&p=1lk&v=1&x=4vYA0fDSBakrhYTRKyFcvw,https://www.vz.lt/image/1280/story/image/RQOaQEZR-pagrindine.jpg?1729795298,,ONLINE_NEWS,,NOT AVAILABLE,Lithuanian,,20470.8,818832,59,84,,Europe,Lithuania,,,Vilnius
3/28/2025,9:51:29 AM,,,UTC,,SEB (Online),SEB toetab Piletilevi Grupi strateegilist laienemist ja Kesk-Euroopa turuliidri positsiooni tugevdamist,"SEB toetab Eesti suurima piletimüügifirma Piletilevi Grupi (PLG) rahvusvahelist kasvu, finantseerides strateegilist tehingut, millega PLG koos Tšehhi partneri GoOut’iga omandab sealset turgu tugevdava ettevõtte Ticketstream’i. SEB Panga juhatuse liikme...",Kapitel Logisticsi arendatav Solina tehas kvalifitseerus esimese Eesti uusarendusena SEB rohelaenule ja märtsi alguses sinantseeriti Sunly sündikaatlaenu 62 miljoni euro ulatuses.,,,https://www.seb.ee/foorum/pressiuudised/seb-toetab-piletilevi-grupi-strateegilist-laienemist-ja-kesk-euroopa,https://www.seb.ee/sites/default/files/styles/infohub_teaser/public/Minimalistlik_0.jpg?h=a217c1cf&itok=g0G5lwJh,,ONLINE_NEWS,,NOT AVAILABLE,Estonian,,5775,231000,,302,,Europe,Estonia,,,
